,teamName,teamId,win,gameNumber,duration,isTiebreaker,isPlayoff,kills,deaths,assists,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,creepsPerMinDeltas.10-20,creepsPerMinDeltas.0-10,xpPerMinDeltas.10-20,xpPerMinDeltas.0-10,goldPerMinDeltas.10-20,goldPerMinDeltas.0-10,damageTakenPerMinDeltas.10-20,damageTakenPerMinDeltas.0-10,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,riftHeraldKills
54,BAUSuperMassive eSports,Red,FALSE,27,1693,FALSE,FALSE,5,20,8,890804,227095,239656,424047,59424,34850,23486,1085,34895,10,68750,20964,5801,153,137,88475,31738,54536,2199,43845,40750,719,116,71,8,2458,62,29,0,83,20,30.3,23.3,2003.3,1713.7,1775.8,1153.4,3206.1,2176,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,0,1,0
55,BAUSuperMassive eSports,Blue,FALSE,28,1454,FALSE,FALSE,14,22,38,659709,131969,252847,274888,46786,16728,24874,5181,11607,11,67707,9280,2244,141,95,75730,27781,45598,2346,41386,37960,622,97,89,0,1650,62,30,0,77,23,28.7,24.7,2140.6,1755.1,1702.6,1304.7,3169.4,2019.8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0
56,EVOS Esports,Red,TRUE,28,1454,FALSE,FALSE,22,14,41,755872,154540,333030,268299,61289,25783,33156,2347,25613,21,61307,61668,20754,146,142,71066,20018,45864,5180,54849,49275,630,180,108,20,7343,67,31,0,80,26,30.7,24.4,2484.2,2003.8,2436.1,1530.6,2650.2,1785.9,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,11,2,1,2,1
57,Flash Wolves,Blue,TRUE,29,2293,FALSE,FALSE,11,8,28,1052828,311133,517726,223965,106535,40834,51962,13733,34593,16,118942,78695,16162,271,198,90958,42349,47074,1535,69282,60000,990,254,166,22,3233,85,51,0,163,45,36.4,26.1,2411.5,1913,1863.3,1315.3,1507.1,1407,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,9,2,1,5,1
58,Gambit Esports,Red,FALSE,29,2293,FALSE,FALSE,8,11,28,1142057,359410,322878,459768,56880,39616,15726,1535,63509,11,169759,38750,4862,303,167,144187,44676,85494,14011,62651,61100,1075,181,133,1,10041,79,49,0,117,75,34.5,26.6,2103,1819.8,1583.9,1282.7,2055.3,1697.1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,4,0,1,0,0
59,Gambit Esports,Blue,FALSE,30,2009,FALSE,FALSE,4,17,8,842868,230092,420969,191801,72459,34895,33791,3770,17580,9,77386,30988,3819,259,107,82601,25796,52977,3823,52996,50300,940,192,113,29,3173,71,36,0,104,60,33.2,25.7,2112,1736.2,1786.6,1216,1674.8,1432.3,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,0,0,1,1
60,Flash Wolves,Red,TRUE,30,2009,FALSE,FALSE,17,4,44,950431,232458,581357,136612,64474,24932,35713,3824,48309,12,79216,63992,25006,269,98,99503,36766,58962,3770,66400,60458,986,169,85,25,2080,79,53,0,138,44,33.3,27,2172.1,1813.2,1779.9,1355.1,2118.2,1429.1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,10,1,1,3,0
61,Flash Wolves,Blue,TRUE,31,1508,FALSE,FALSE,15,3,31,716339,206481,255350,254503,42017,25773,14713,1527,41444,11,56427,68876,23384,149,65,70000,24156,43961,1877,49515,41810,686,137,72,38,1621,68,36,0,83,31,29.5,25.5,2038.4,1954.3,1922.4,1309.6,2170.9,2144.1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,10,2,1,3,1
62,Gambit Esports,Red,FALSE,31,1508,FALSE,FALSE,3,15,5,578674,175813,235510,167347,32555,18878,11795,1879,22023,8,45282,13629,6123,160,93,65434,28196,35710,1527,39343,37920,651,132,90,11,1673,59,23,0,84,29,27,23.3,1981.5,1728.8,1465.2,1199.3,2038.1,1878.8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,0,0,0
63,Fnatic,Blue,FALSE,32,2183,FALSE,FALSE,6,6,11,1082447,323129,546096,213217,45342,20848,20730,3763,52651,8,72499,53085,14073,244,45,82117,29633,47999,4480,61435,60760,1109,226,161,18,1357,80,38,0,123,52,34.4,27.7,2385.1,1914.3,1744.6,1233.9,1632.7,1960.7,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,5,1,0,2,0
64,Royal Never Give Up,Red,TRUE,32,2183,FALSE,FALSE,6,6,12,1261408,485097,460261,316046,44042,23783,15775,4481,25171,8,78979,77634,22757,293,89,77359,23746,49846,3761,68511,60925,1181,256,160,24,3354,83,43,0,147,58,36.2,30,2309,1906,1905.1,1299.4,2062.2,1770.3,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,10,1,1,2,1
65,EVOS Esports,Blue,FALSE,33,1651,FALSE,FALSE,2,22,4,784319,212731,234096,337488,34823,19684,12833,2304,17883,10,59259,7442,1764,144,64,88683,45051,40720,2909,38626,37310,713,142,118,4,2668,62,29,0,102,25,27.1,25.7,1856.1,1779.5,1384.1,1206.8,2451.7,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
66,Flash Wolves,Red,TRUE,33,1651,FALSE,FALSE,22,2,54,720362,216024,327456,176876,66362,42544,20906,2909,21874,9,45872,66004,23441,237,114,55632,22264,31061,2304,56044,50613,653,146,83,19,2111,69,36,0,115,40,25.1,26.8,1864.4,1896.4,2116.7,1533.9,1248.5,1299.9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,9,1,1,2,1
67,KING-ZONE DragonX,Blue,TRUE,34,1961,FALSE,FALSE,8,4,22,1120181,365642,390461,364074,67982,35106,27407,5466,40158,14,86800,55308,18970,315,157,77695,24042,52450,1200,60653,52503,983,212,126,21,4022,79,39,0,142,56,32.3,28.7,2170.6,1954.6,1817.5,1319.1,1536.1,1644.1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,7,1,1,3,0
