,name,teamRole,wins,losses,duration,kills,deaths,assists,KDA,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,creepsPerMinDeltas.10.20,creepsPerMinDeltas.0.10,xpPerMinDeltas.10.20,xpPerMinDeltas.0.10,goldPerMinDeltas.10.20,goldPerMinDeltas.0.10,damageTakenPerMinDeltas.10.20,damageTakenPerMinDeltas.0.10
65,Skarner,JUNGLE,12,10,2194.818182,0.954545455,2.090909091,6.045454545,3.347826087,146522.0455,57928.40909,76274.5,12317.95455,4678.454545,1994.318182,2004.681818,678.5454545,8274.681818,1.181818182,37719.04545,15004.40909,856.3636364,84.59090909,22.22727273,23898.54545,8287.818182,14828.81818,781.1818182,11216.5,10337.5,0.318181818,0.045454545,30.36363636,148.9090909,100.5454545,6.5,1007.318182,15.13636364,11.63636364,0,49,14.18181818,0.136363636,0.045454545,0.136363636,0,0.227272727,0.795454545,0.213636364,397.7136364,349.9954545,318.2545455,273.5045455,562.9727273,543.4181818
66,Swain,MID,4,1,2014.2,4.4,1.8,6.6,6.111111111,310986,177332.4,20532.6,113120.4,20356.8,19315,866,175.4,10042.8,1,12196.2,11111.4,4273.2,31.4,29.6,23870,12099.6,10698.2,1071.2,14034.2,12790,0.8,0,286,18.2,15.2,1.8,269,17,5.2,0,19,5.2,0,0,0.2,0,0.8,10.12,8.52,566.42,465.72,420.38,290.38,540.5,295.3
67,Swain,TOP,6,0,2158.666667,2.333333333,2.5,6.666666667,3.6,307052.1667,180390.5,22360.5,104300.5,21357.83333,19685.5,1509,162.5,12722.5,1,18404.66667,12979,3960,39.5,34.16666667,26932.33333,13444,12820,667.8333333,14478.16667,13233.33333,1.666666667,0.5,286.3333333,19.33333333,9.333333333,3.333333333,333.1666667,17,5.166666667,0,20.16666667,5.833333333,0,0.166666667,0.333333333,0.5,0.333333333,9.466666667,8.7,511.4833333,464.55,399.25,277.3,473.85,265.85
68,Syndra,MID,0,1,2391,5,3,5,3.333333333,430320,263981,12705,153632,17586,16799,370,417,634,1,5609,3706,2744,33,29,15208,8746,4585,1876,16316,15500,0,0,360,34,29,5,956,18,4,0,14,6,0,0,0,0,0,10.7,8.9,559.1,477.5,523.6,326.4,352.3,156.4
69,Tahm Kench,SUPPORT,21,23,2319.954545,0.409090909,2.659090909,5.363636364,2.170940171,101712.7727,13972.25,7792.090909,79947.25,4292.977273,3745.886364,365.8181818,180.5681818,5760.75,4.022727273,27225.79545,2149.840909,773.8636364,90.47727273,11.43181818,19539.97727,9344.886364,9304.25,890.1136364,9953.863636,9072.159091,0.272727273,0.045454545,77.52272727,0.5,0.090909091,0.045454545,120.5909091,14.22727273,19.11363636,0,59.54545455,9.659090909,0,0,0.25,0.022727273,0.272727273,2.5,1.815909091,300.8227273,273.6227273,243.5045455,159.6477273,401.3568182,245.5
70,Taliyah,MID,9,7,2030.6875,2.25,2.6875,4.3125,2.441860465,338395.6875,189849.5625,8526.8125,140018.6875,19013.1875,18362.5,456.5625,193.5,1540.1875,1.5625,6050.3125,8939.8125,2121.1875,41.875,14.9375,12164.875,6691,5072.8125,400.5,13065.9375,11856.875,0.6875,0.125,272.0625,29.75,21.25,3.9375,658.3125,16.0625,7.25,0,21.25,6.25,0,0.125,0.0625,0,0.375,10,8.275,540.04375,458.0125,401.03125,289.51875,338.74375,211.9625
71,Taric,SUPPORT,9,9,2223.888889,0.444444444,1.5,6.944444444,4.925925926,101004.0556,13215.5,10581.77778,77205.66667,2976.444444,1873.388889,590.9444444,511.5555556,11883.44444,5.388888889,14819.66667,3560.777778,1587.666667,85.22222222,14.72222222,13620.66667,5965.333333,7160.777778,493.7222222,9184.888889,8212.5,0.611111111,0.055555556,70.44444444,0.611111111,0.333333333,0,63.22222222,13.83333333,17.38888889,0,52.61111111,14.22222222,0,0.055555556,0.222222222,0.055555556,0.388888889,2.333333333,1.527777778,282.4166667,274.8944444,227.3944444,161.95,217.45,227.3555556
72,Thresh,SUPPORT,11,6,2151.294118,0.470588235,2.058823529,8.117647059,4.171428571,68809.17647,11561.94118,7495.352941,49751.11765,3836.764706,2846.176471,485.1176471,504.5882353,1229.352941,2.882352941,10803.64706,2373.294118,988.9411765,92.29411765,19.23529412,12239.47059,6006.529412,5832.117647,400.1176471,8883.235294,8163.529412,0.411764706,0,44.47058824,0.235294118,0,0,78.76470588,13.70588235,18.35294118,0,58.70588235,11.70588235,0.058823529,0,0.294117647,0,0.470588235,1.423529412,1.158823529,272.8352941,274,223.4705882,166.5470588,270.1941176,199.8058824
73,Tristana,BOTCARRY,30,20,2263.52,3.64,1.14,4.2,6.877192982,327518.56,112964.32,199661.52,14892.02,25546.2,6711.84,17574.24,1259.54,4281,3.26,11037.36,23744.14,10347.68,54.56,5.4,12116.44,5219.58,6553.3,342.68,17275.64,15505.2,3.36,0.6,386.74,33.18,19.42,5.58,269.76,16.62,3.84,0,15.02,19.64,0.08,0.26,0.06,0.24,0.22,11.074,8.7,469.112,326.838,423.146,287.308,258.288,193.672
74,Trundle,JUNGLE,5,5,1964.7,1.6,2,7.1,4.35,118619.1,30225.8,78481.7,9910.6,5779.1,2238.9,2884.3,655.2,17995.4,1,26336.4,15636.1,2163.4,48.3,23.3,30433.1,8684.1,20720.9,1026.8,9933.1,9152.5,0.5,0,28.4,116,83.6,6,672.3,14,9.3,0,20.1,15.3,0.3,0,0.4,0,0.4,0.8,0.39,373.31,348.03,299.74,264.12,866.39,754.61
