,championId,pickTurn,name,gameNumber,isTiebreaker,isPlayoff,league
1,98,1,Shen,1,FALSE,FALSE,EULCS
2,81,2,Ezreal,1,FALSE,FALSE,EULCS
3,90,3,Malzahar,1,FALSE,FALSE,EULCS
4,142,4,Zoe,1,FALSE,FALSE,EULCS
5,268,5,Azir,1,FALSE,FALSE,EULCS
6,429,6,Kalista,1,FALSE,FALSE,EULCS
7,18,7,Tristana,1,FALSE,FALSE,EULCS
8,59,8,Jarvan IV,1,FALSE,FALSE,EULCS
9,115,9,Ziggs,1,FALSE,FALSE,EULCS
10,121,10,Kha'Zix,1,FALSE,FALSE,EULCS
11,98,1,Shen,2,FALSE,FALSE,EULCS
12,12,2,Alistar,2,FALSE,FALSE,EULCS
13,113,3,Sejuani,2,FALSE,FALSE,EULCS
14,28,4,Evelynn,2,FALSE,FALSE,EULCS
15,96,5,Kog'Maw,2,FALSE,FALSE,EULCS
16,107,6,Rengar,2,FALSE,FALSE,EULCS
17,142,7,Zoe,2,FALSE,FALSE,EULCS
18,18,8,Tristana,2,FALSE,FALSE,EULCS
19,268,9,Azir,2,FALSE,FALSE,EULCS
20,110,10,Varus,2,FALSE,FALSE,EULCS
21,121,1,Kha'Zix,3,FALSE,FALSE,EULCS
22,78,2,Poppy,3,FALSE,FALSE,EULCS
23,429,2,Kalista,3,FALSE,FALSE,EULCS
24,81,4,Ezreal,3,FALSE,FALSE,EULCS
25,12,5,Alistar,3,FALSE,FALSE,EULCS
26,13,6,Ryze,3,FALSE,FALSE,EULCS
27,201,7,Braum,3,FALSE,FALSE,EULCS
28,142,9,Zoe,3,FALSE,FALSE,EULCS
29,90,10,Malzahar,3,FALSE,FALSE,EULCS
30,NA,NA,NA,3,FALSE,FALSE,EULCS
31,12,1,Alistar,4,FALSE,FALSE,EULCS
32,429,2,Kalista,4,FALSE,FALSE,EULCS
33,142,3,Zoe,4,FALSE,FALSE,EULCS
34,59,4,Jarvan IV,4,FALSE,FALSE,EULCS
35,96,5,Kog'Maw,4,FALSE,FALSE,EULCS
36,498,6,Xayah,4,FALSE,FALSE,EULCS
37,113,7,Sejuani,4,FALSE,FALSE,EULCS
38,51,8,Caitlyn,4,FALSE,FALSE,EULCS
39,8,9,Vladimir,4,FALSE,FALSE,EULCS
40,18,10,Tristana,4,FALSE,FALSE,EULCS
41,28,1,Evelynn,5,FALSE,FALSE,EULCS
42,142,2,Zoe,5,FALSE,FALSE,EULCS
43,90,3,Malzahar,5,FALSE,FALSE,EULCS
44,98,4,Shen,5,FALSE,FALSE,EULCS
45,429,5,Kalista,5,FALSE,FALSE,EULCS
46,41,6,Gangplank,5,FALSE,FALSE,EULCS
47,164,7,Camille,5,FALSE,FALSE,EULCS
48,96,8,Kog'Maw,5,FALSE,FALSE,EULCS
49,223,9,Tahm Kench,5,FALSE,FALSE,EULCS
50,201,10,Braum,5,FALSE,FALSE,EULCS
51,98,1,Shen,6,FALSE,FALSE,EULCS
52,12,2,Alistar,6,FALSE,FALSE,EULCS
53,59,3,Jarvan IV,6,FALSE,FALSE,EULCS
54,516,4,Ornn,6,FALSE,FALSE,EULCS
55,429,5,Kalista,6,FALSE,FALSE,EULCS
56,150,6,Gnar,6,FALSE,FALSE,EULCS
57,201,7,Braum,6,FALSE,FALSE,EULCS
58,81,8,Ezreal,6,FALSE,FALSE,EULCS
59,44,9,Taric,6,FALSE,FALSE,EULCS
60,110,10,Varus,6,FALSE,FALSE,EULCS
61,121,1,Kha'Zix,7,FALSE,FALSE,EULCS
62,28,2,Evelynn,7,FALSE,FALSE,EULCS
63,12,3,Alistar,7,FALSE,FALSE,EULCS
64,142,4,Zoe,7,FALSE,FALSE,EULCS
65,429,5,Kalista,7,FALSE,FALSE,EULCS
66,98,6,Shen,7,FALSE,FALSE,EULCS
67,113,7,Sejuani,7,FALSE,FALSE,EULCS
68,41,8,Gangplank,7,FALSE,FALSE,EULCS
69,59,9,Jarvan IV,7,FALSE,FALSE,EULCS
70,72,10,Skarner,7,FALSE,FALSE,EULCS
71,28,1,Evelynn,8,FALSE,FALSE,EULCS
72,268,2,Azir,8,FALSE,FALSE,EULCS
73,429,3,Kalista,8,FALSE,FALSE,EULCS
74,516,4,Ornn,8,FALSE,FALSE,EULCS
75,90,5,Malzahar,8,FALSE,FALSE,EULCS
76,223,6,Tahm Kench,8,FALSE,FALSE,EULCS
77,96,7,Kog'Maw,8,FALSE,FALSE,EULCS
78,81,8,Ezreal,8,FALSE,FALSE,EULCS
79,18,9,Tristana,8,FALSE,FALSE,EULCS
80,126,10,Jayce,8,FALSE,FALSE,EULCS
81,98,1,Shen,9,FALSE,FALSE,EULCS
82,142,2,Zoe,9,FALSE,FALSE,EULCS
83,90,3,Malzahar,9,FALSE,FALSE,EULCS
84,429,4,Kalista,9,FALSE,FALSE,EULCS
85,121,5,Kha'Zix,9,FALSE,FALSE,EULCS
86,81,6,Ezreal,9,FALSE,FALSE,EULCS
87,110,7,Varus,9,FALSE,FALSE,EULCS
88,113,8,Sejuani,9,FALSE,FALSE,EULCS
89,51,9,Caitlyn,9,FALSE,FALSE,EULCS
90,164,10,Camille,9,FALSE,FALSE,EULCS
