,teamName,teamId,win,gameNumber,duration,isTiebreaker,isPlayoff,kills,deaths,assists,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,creepsPerMinDeltas.10-20,creepsPerMinDeltas.0-10,xpPerMinDeltas.10-20,xpPerMinDeltas.0-10,goldPerMinDeltas.10-20,goldPerMinDeltas.0-10,damageTakenPerMinDeltas.10-20,damageTakenPerMinDeltas.0-10,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,riftHeraldKills
14,Splyce,Red,TRUE,7,4089,FALSE,FALSE,8,12,26,2696405,904226,1304631,487545,147622,63177,78624,5816,86526,26,296596,92187,30179,604,98,180755,68306,84960,27485,126135,117435,2082,222,166,5,1568,90,54,0,312,122,34.6,27.9,2073.4,1814.1,1684.3,1219.3,1424.7,781.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11,6,3,1,0
15,Fnatic,Blue,FALSE,8,2627,FALSE,FALSE,8,13,25,1213028,639446,493695,79882,90373,53267,29563,7539,34914,20,148443,62885,14974,370,229,129984,65871,52705,11403,77913,72935,1362,262,161,39,2692,85,47,0,161,83,31.8,29.7,2066.3,1792.8,1815.4,1454.9,2285.9,1319.6,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,6,0,0,3,1
16,H2K,Red,TRUE,8,2627,FALSE,FALSE,13,8,41,1098766,653117,378441,67203,102777,63627,27741,11404,70984,12,120053,84277,20134,440,82,127545,58499,61506,7536,84063,80780,1246,212,151,9,1993,87,40,0,231,57,33,25.5,2101.4,1744.7,1654.9,1226.3,2431.4,1498.7,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,8,1,3,2,0
17,G2 Esports,Blue,FALSE,9,2705,FALSE,FALSE,7,12,21,1282164,725704,506161,50292,84938,49047,31548,4340,35351,13,197171,57976,18556,471,102,123131,65554,53725,3848,82458,78225,1452,278,176,46,2428,86,47,0,268,100,36,29.5,2130.4,1889.5,1687,1291.2,1961.7,1554,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,6,0,1,3,0
18,ROCCAT,Red,TRUE,9,2705,FALSE,FALSE,12,7,38,1158183,559719,537143,61316,96578,63183,29544,3848,51853,13,147550,77741,25069,450,122,121733,53290,64100,4340,87044,81425,1405,251,162,27,5191,87,74,0,223,110,37.9,29.1,2274.8,1862,1802.3,1300.8,1710.3,1500.8,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,10,4,2,1,1
19,Misfits Gaming,Blue,TRUE,10,2525,FALSE,FALSE,18,5,48,1269983,445532,777697,46748,98341,44649,47507,6181,35219,14,128513,92820,19447,511,158,101476,40969,56760,3743,87811,74008,1318,271,175,23,2606,88,67,0,251,103,36.4,28,2446,1855.4,2040.1,1338.9,1922.3,1538.1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,10,1,2,2,0
20,FC Schalke 04,Red,FALSE,10,2525,FALSE,FALSE,5,18,11,978256,468684,441291,68279,63147,34512,24888,3743,44032,13,138274,32959,1179,382,136,133209,48485,78540,6180,69234,64150,1266,238,189,4,9250,82,41,0,199,104,36,27.5,2127.2,1831.2,1718,1307.4,2934.6,1960.9,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,0,0,1,1
21,Giants Gaming,Blue,TRUE,11,2398,FALSE,FALSE,16,7,44,1122504,433159,507717,181622,92421,48878,42153,1387,32304,17,181485,61588,28263,331,137,132582,48962,78851,4766,76324,69575,1118,211,157,19,2683,84,42,0,159,50,33.2,27.6,2160.1,1774.2,1755.8,1279.9,2782.8,1750.9,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,10,2,2,0,0
22,G2 Esports,Red,FALSE,11,2398,FALSE,FALSE,7,16,21,1056585,368104,653474,35002,100947,44190,51986,4767,24834,17,138069,40957,7330,391,150,114359,50478,62489,1387,70190,68533,1178,211,143,14,3982,80,47,0,167,73,34.4,27,2072.6,1745.7,1941,1361.6,2246.1,1553.2,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,3,0,0,4,0
23,Splyce,Blue,FALSE,12,2654,FALSE,FALSE,7,13,18,1003210,526430,446309,30468,65142,44432,19818,890,19067,13,199159,30627,9978,378,126,103608,39124,61351,3129,75095,72695,1330,231,177,11,3813,86,41,0,170,93,35.7,28.6,2276.6,1938.2,1922.7,1368,2476,1128.8,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,4,0,0,2,0
24,ROCCAT,Red,TRUE,12,2654,FALSE,FALSE,13,7,39,1345640,512728,778892,54017,86160,37393,45633,3129,36033,12,106555,88288,24278,482,138,112199,51155,60151,890,92609,74800,1417,287,174,50,4572,89,53,0,219,69,34.7,28.2,2486.5,1825.2,1954.7,1280.7,2502.3,1704.9,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,11,4,3,2,0
25,Misfits Gaming,Blue,TRUE,13,1902,FALSE,FALSE,7,0,20,771477,313305,406553,51614,54459,30379,22233,1843,24668,12,67509,54778,23737,323,86,73759,34977,37107,1671,63091,50100,1110,214,137,19,2493,78,36,0,167,75,39.9,29.8,2301,1917.4,1713.6,1365.1,1457.8,1487.5,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,8,1,1,3,0
26,H2K,Red,FALSE,13,1902,FALSE,FALSE,0,7,0,693479,438236,225635,29603,48140,31091,15374,1671,37232,12,68432,29352,3209,316,39,78096,32317,43932,1842,52327,51100,1045,163,128,10,1144,70,34,0,163,72,38,29.2,2226.3,1837,1745.6,1266.8,1503,1308,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,0,0,0,1
27,Fnatic,Blue,FALSE,14,2460,FALSE,FALSE,5,12,11,1118975,713731,370987,34253,70459,48191,17757,4507,44286,9,86957,42458,12892,439,63,95935,44668,50115,1148,75881,72175,1315,244,167,13,1603,85,72,0,231,84,36,30.1,2339,1922.3,1931.4,1331,1864.3,1611.4,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,5,0,1,2,1
28,Team Vitality,Red,TRUE,14,2460,FALSE,FALSE,12,5,15,1288321,657096,593305,37918,73917,43266,29189,1459,43941,10,102330,80271,32212,398,106,99638,51147,43225,5261,81458,76925,1405,250,168,28,1317,85,67,0,200,109,38,29.4,2356.7,1918.5,1938.3,1364.8,1986.5,1735,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,10,3,1,2,0
