Region ID,Game ID,Hash ID,Blue Team,Red Team
TRLH1,1002510029,11432042c471c8fd,Team Liquid,Cloud9
TRLH1,1002510037,7bf3fdd2bf6e0b00,Golden Guardians,Team Solo Mid
TRLH1,1002510046,54bab7ab10282d86,Counter Logic Gaming,OpTic Gaming
TRLH1,1002510062,410ef1533f80f0b4,Cloud9,FlyQuest
TRLH1,1002510068,2dbb7ffb584c1f68,Golden Guardians,Clutch Gaming
TRLH1,1002510077,3049c3eb02593174,Counter Logic Gaming,Team Solo Mid
TRLH1,1002510083,dfd2ffb75cc8b2b5,100 Thieves,Echo Fox
TRLH1,1002510092,09890508b420c8d1,Team Liquid,OpTic Gaming
TRLH1,1002510099,123f8d5b64c6750b,100 Thieves,Echo Fox
TRLH1,1002510106,1081bb36e0d3c3c8,Team Liquid,Cloud9
TRLH1,1002510113,f604fd08dc5cc67c,Team Solo Mid,Clutch Gaming
TRLH1,1002510123,ea317fd2f6cfc161,Team Liquid,Team Solo Mid
TRLH1,1002510129,3aa68415b9f67379,Cloud9,Clutch Gaming
TRLH1,1002510203,c78eac8ab22d900f,Team Liquid,Cloud9
TRLH1,1002510212,67fecd7790b4a604,Cloud9,Team Liquid
TRLH1,1002510216,756fc0f221283250,Team Liquid,Cloud9
TRLH1,1002520202,f0eb09e63d550f57,Team Solo Mid,Clutch Gaming
TRLH1,1002520204,6ddeae8e0364099c,Clutch Gaming,Team Solo Mid
TRLH1,1002520205,8cb17c1d5de0d8c8,Team Solo Mid,Clutch Gaming
TRLH1,1002520206,65332a4bd98167e6,Clutch Gaming,Team Solo Mid
TRLH1,1002520246,175bf6e0da0ff375,Echo Fox,Team Liquid
TRLH1,1002520249,3633bf396fb01eaa,Team Liquid,Echo Fox
TRLH1,1002520250,232cf6a267cc4252,Echo Fox,Team Liquid
TRLH1,1002520251,fe7e810d4a0b1eed,Team Liquid,Echo Fox
TRLH1,1002520263,7906ab5615a8b3f4,100 Thieves,Clutch Gaming
TRLH1,1002520265,724b4ed895904df5,Clutch Gaming,100 Thieves
TRLH1,1002520266,fb65ef5eba4fd94a,100 Thieves,Clutch Gaming
TRLH1,1002520267,7181540e1840ccbc,Clutch Gaming,100 Thieves
TRLH1,1002520268,2a185e66a18d0314,100 Thieves,Clutch Gaming
TRLH1,1002530054,361078e739be749e,Echo Fox,Clutch Gaming
TRLH1,1002530055,43ac1120c47c7665,Clutch Gaming,Echo Fox
TRLH1,1002530058,e7caab7ef2ad954a,Echo Fox,Clutch Gaming
TRLH1,1002530069,a774e6c7993c29fa,100 Thieves,Team Liquid
TRLH1,1002530071,f10c8835759ef621,Team Liquid,100 Thieves
TRLH1,1002530072,0e19ce71fe99bf30,100 Thieves,Team Liquid
