Region ID,Game ID,Hash ID,Blue Team,Red Team
TRLH3,1002460082,d3971258823f9383,ROCCAT,H2K
TRLH3,1002460089,3fdf539dfa047e7e,Unicorns of Love,Misfits Gaming
TRLH3,1002460098,b2202fe338f737ef,G2 Esports,Team Vitality
TRLH3,1002450084,c58df765732ebb46,Fnatic,FC Schalke 04
TRLH3,1002460113,7e2c728f4a8c3bdc,Splyce,G2 Esports
TRLH3,1002450107,05c243faf8d61a33,ROCCAT,Splyce
TRLH3,1002450113,c77c7b3987215037,ROCCAT,Splyce
TRLH3,1002450115,1237edb68749dd98,ROCCAT,Splyce
TRLH3,1002450118,eeb0b61c437f6d1c,H2K,Team Vitality
TRLH3,1002450133,d8418c99139e1463,Team Vitality,H2K
TRLH3,1002450135,a1175d9ff54888a1,H2K,Team Vitality
TRLH3,1002450137,91fed39044b10f75,Team Vitality,H2K
TRLH3,1002450139,95a43985d2c3f41e,H2K,Team Vitality
TRLH3,1002450161,9d1d2d2392b5a620,Splyce,G2 Esports
TRLH3,1002450167,0132f9a3112f2497,G2 Esports,Splyce
TRLH3,1002450168,dd1ec8968df351f4,G2 Esports,Splyce
TRLH3,1002450169,1a33de4a1d3a87eb,Splyce,G2 Esports
TRLH3,1002450178,d7b468e1fa65de6f,Team Vitality,Fnatic
TRLH3,1002460201,e2e5e33684aa04d5,Fnatic,Team Vitality
TRLH3,1002450194,e80bfbda30391422,Fnatic,Team Vitality
TRLH3,1002450195,519f28104174cb9b,Fnatic,Team Vitality
TRLH3,1002490058,776a4d91769d8b31,Team Vitality,Splyce
TRLH3,1002490069,4dc1bc1c97d20eb3,Team Vitality,Splyce
TRLH3,1002490070,8a3f29155c3859ae,Team Vitality,Splyce
TRLH3,1002490071,cf4ace0b5d0d0d70,Team Vitality,Splyce
TRLH3,1002500031,e37020fb7d8df5fc,Team Vitality,Splyce
TRLH3,1002490089,9f087ef26a977822,Fnatic,G2 Esports
TRLH3,1002490090,3fc8233e929d81aa,G2 Esports,Fnatic
TRLH3,1002490091,a71736f3e3491531,Fnatic,G2 Esports
