Region ID,Game ID,Hash ID,Blue Team,Red Team,Tiebreaker,Playoff,Promotion,SeriesNumber,SeriesGameNumber
TRTW,1510238,5b1feaf3acd1b033,Hong Kong Attitude,Team Afro,FALSE,FALSE,FALSE,25,2
TRTW,1500307,741086bec2843727,G-Rex,J Team,FALSE,FALSE,FALSE,26,1
TRTW,1500312,2c49a4d2c80619b2,G-Rex,J Team,FALSE,FALSE,FALSE,26,2
TRTW,1500315,b0b65305c9095448,G-Rex,J Team,FALSE,FALSE,FALSE,26,3
TRTW,1510318,a72f3a8238ec049e,Team Afro,Machi Esports,FALSE,FALSE,FALSE,27,1
TRTW,1510340,d714ee8fac6896d7,Machi Esports,Team Afro,FALSE,FALSE,FALSE,27,2
TRTW,1500348,efea12d4c2005959,Machi Esports,Team Afro,FALSE,FALSE,FALSE,27,3
TRTW,1510354,86c452d22fc4b146,Flash Wolves,J Team,FALSE,FALSE,FALSE,28,1
TRTW,1510374,bdfd904417bc5034,J Team,Flash Wolves,FALSE,FALSE,FALSE,28,2
TRTW,1510389,e9a549c631e5bd26,Flash Wolves,Machi Esports,FALSE,FALSE,FALSE,29,1
TRTW,1510395,cabac295162acf94,Machi Esports,Flash Wolves,FALSE,FALSE,FALSE,29,2
TRTW,1510405,9f820d73bc1b59a2,Hong Kong Attitude,J Team,FALSE,FALSE,FALSE,30,1
TRTW,1510413,efcb07cd921a61ba,J Team,Hong Kong Attitude,FALSE,FALSE,FALSE,30,2
TRTW,1510418,8a7b00a127bad92b,J Team,Hong Kong Attitude,FALSE,FALSE,FALSE,30,3
TRTW,1510535,1436aadce3103656,Mad Team,G-Rex,FALSE,FALSE,FALSE,31,1
TRTW,1510550,d61fbb9a4c9e1686,Mad Team,G-Rex,FALSE,FALSE,FALSE,31,2
TRTW,1500599,80ae7c53ea97d2ea,ahq e-Sports Club,Team Afro,FALSE,FALSE,FALSE,32,1
TRTW,1500607,684ad8c30e4c538f,ahq e-Sports Club,Team Afro,FALSE,FALSE,FALSE,32,2
TRTW,1530066,43b2046758363992,Mad Team,J Team,FALSE,FALSE,FALSE,33,1
TRTW,1530075,0719a63ca8dbec8e,J Team,Mad Team,FALSE,FALSE,FALSE,33,2
TRTW,1530091,7ee4c53ef1563b6f,ahq e-Sports Club,Hong Kong Attitude,FALSE,FALSE,FALSE,34,1
TRTW,1530118,e587134c953bed3b,ahq e-Sports Club,Hong Kong Attitude,FALSE,FALSE,FALSE,34,2
TRTW,1530136,8d56f5d82bae52c0,Team Afro,J Team,FALSE,FALSE,FALSE,35,1
TRTW,1530151,197367384e1bd11a,J Team,Team Afro,FALSE,FALSE,FALSE,35,2
TRTW,1530158,1d43d51a87e85426,Flash Wolves,G-Rex,FALSE,FALSE,FALSE,36,1
TRTW,1530166,63a7ec0a6678bd70,G-Rex,Flash Wolves,FALSE,FALSE,FALSE,36,2
TRTW,1520256,58815c52e7342224,Machi Esports,Team Afro,FALSE,FALSE,FALSE,37,1
TRTW,1520271,63defd5889be76f9,Machi Esports,Team Afro,FALSE,FALSE,FALSE,37,2
TRTW,1520329,e67f283f3c99beb5,Mad Team,Hong Kong Attitude,FALSE,FALSE,FALSE,38,1
TRTW,1520332,ea85b8570be60bc4,Mad Team,Hong Kong Attitude,FALSE,FALSE,FALSE,38,2
TRTW,1520343,98d7dfce7d3eefc6,Mad Team,Hong Kong Attitude,FALSE,FALSE,FALSE,38,3
TRTW,1520476,6eb81c05c8a98fa8,G-Rex,ahq e-Sports Club,FALSE,FALSE,FALSE,39,1
TRTW,1530440,b6b259706b4972b0,G-Rex,ahq e-Sports Club,FALSE,FALSE,FALSE,39,2
TRTW,1530446,fe563c570b6b9df9,Mad Team,Flash Wolves,FALSE,FALSE,FALSE,40,1
TRTW,1530458,10047ec146cf99bb,Mad Team,Flash Wolves,FALSE,FALSE,FALSE,40,2
TRTW,1530478,4680085e28f56024,Mad Team,Flash Wolves,FALSE,FALSE,FALSE,40,3
TRTW,1530502,d67bff54b2e55cc6,ahq e-Sports Club,Mad Team,FALSE,FALSE,FALSE,41,1
TRTW,1530517,0701568af16f2369,ahq e-Sports Club,Mad Team,FALSE,FALSE,FALSE,41,2
TRTW,1530522,f491ad112f4e93d1,ahq e-Sports Club,Mad Team,FALSE,FALSE,FALSE,41,3
TRTW,1530528,cc53cf727cc2957f,Team Afro,Hong Kong Attitude,FALSE,FALSE,FALSE,42,1
TRTW,1530547,7f025bb10ac99b5f,Hong Kong Attitude,Team Afro,FALSE,FALSE,FALSE,42,2
TRTW,1530644,abea66ae3b59af98,G-Rex,Team Afro,FALSE,FALSE,FALSE,43,1
TRTW,1530645,0bf280cc69eadb54,G-Rex,Team Afro,FALSE,FALSE,FALSE,43,2
TRTW,1520777,7c57594c396468c1,J Team,Machi Esports,FALSE,FALSE,FALSE,44,1
TRTW,1520778,1d096ac067cac02a,J Team,Machi Esports,FALSE,FALSE,FALSE,44,2
TRTW,1540057,98873a7c1a57dded,Team Afro,Flash Wolves,FALSE,FALSE,FALSE,45,1
TRTW,1540058,f64f124b490de0d2,Team Afro,Flash Wolves,FALSE,FALSE,FALSE,45,2
TRTW,1540065,e4a24d1f3624366f,G-Rex,J Team,FALSE,FALSE,FALSE,46,1
TRTW,1540089,47d4fd2f97ffa5d5,G-Rex,J Team,FALSE,FALSE,FALSE,46,2
TRTW,1550097,3142759f3ceef0b2,Machi Esports,Mad Team,FALSE,FALSE,FALSE,47,1
TRTW,1550104,455e2f2cfcb000bf,Mad Team,Machi Esports,FALSE,FALSE,FALSE,47,2
TRTW,1550116,e4c921efede9f33c,Hong Kong Attitude,G-Rex,FALSE,FALSE,FALSE,48,1
TRTW,1550121,21bf214375e08ce8,Hong Kong Attitude,G-Rex,FALSE,FALSE,FALSE,48,2
TRTW,1550123,9357f9590be82a1d,G-Rex,Hong Kong Attitude,FALSE,FALSE,FALSE,48,3
TRTW,1550151,ca22f92942ce1dbd,Machi Esports,ahq e-Sports Club,FALSE,FALSE,FALSE,49,1
TRTW,1550154,1c9c752cfc53fbde,ahq e-Sports Club,Machi Esports,FALSE,FALSE,FALSE,49,2
TRTW,1550157,dbae85ba143e4400,ahq e-Sports Club,Machi Esports,FALSE,FALSE,FALSE,49,3
TRTW,1550168,2bd7621960cb5635,Hong Kong Attitude,Flash Wolves,FALSE,FALSE,FALSE,50,1
TRTW,1550182,aaa3d92ee08db14b,Flash Wolves,Hong Kong Attitude,FALSE,FALSE,FALSE,50,2
TRTW,1550419,d4e187ddaa2f20b3,Machi Esports,Hong Kong Attitude,FALSE,FALSE,FALSE,51,1
TRTW,1550439,ef809aa5c03e8461,Machi Esports,Hong Kong Attitude,FALSE,FALSE,FALSE,51,2
TRTW,1550441,ce687e2c202690dd,Team Afro,Mad Team,FALSE,FALSE,FALSE,52,1
TRTW,1550457,ec90280d951cbe37,Mad Team,Team Afro,FALSE,FALSE,FALSE,52,2
TRTW,1550461,3a862c42021e03cd,Team Afro,Mad Team,FALSE,FALSE,FALSE,52,3
TRTW,1550479,c623a5761a690fa8,ahq e-Sports Club,Flash Wolves,FALSE,FALSE,FALSE,53,1
TRTW,1550494,872c3f265ffac191,Flash Wolves,ahq e-Sports Club,FALSE,FALSE,FALSE,53,2
TRTW,1550504,d3a16366f279223b,Machi Esports,G-Rex,FALSE,FALSE,FALSE,54,1
TRTW,1550511,870e673a387ffa82,Machi Esports,G-Rex,FALSE,FALSE,FALSE,54,2
TRTW,1540584,60779e31a23b13ea,Flash Wolves,J Team,FALSE,FALSE,FALSE,55,1
TRTW,1540591,7d78f1dcdc95f38f,Flash Wolves,J Team,FALSE,FALSE,FALSE,55,2
TRTW,1550680,b51ac2b84dea4884,J Team,ahq e-Sports Club,FALSE,FALSE,FALSE,56,1
TRTW,1550683,b29a78d48cd87668,J Team,ahq e-Sports Club,FALSE,FALSE,FALSE,56,2
TRTW,1560075,beeb4042daf5d702,Mad Team,Machi Esports,FALSE,TRUE,FALSE,57,1
TRTW,1560078,058dcb9faa42cd31,Mad Team,Machi Esports,FALSE,TRUE,FALSE,57,2
TRTW,1560080,c79e84b847f99603,Mad Team,Machi Esports,FALSE,TRUE,FALSE,57,3
TRTW,1560081,a613a3821d3a388a,Mad Team,Machi Esports,FALSE,TRUE,FALSE,57,4
TRTW,1560098,897fa9f322f82038,G-Rex,Mad Team,FALSE,TRUE,FALSE,58,1
TRTW,1570098,a2c6cd55874514ff,Mad Team,G-Rex,FALSE,TRUE,FALSE,58,2
TRTW,1570099,b510585cb10a3d35,Mad Team,G-Rex,FALSE,TRUE,FALSE,58,3
TRTW,1570158,af467fb5396df612,Flash Wolves,G-Rex,FALSE,TRUE,FALSE,59,1
TRTW,1570163,6472ba95dd677f80,Flash Wolves,G-Rex,FALSE,TRUE,FALSE,59,2
TRTW,1570164,109fb4b0bc5f5a85,Flash Wolves,G-Rex,FALSE,TRUE,FALSE,59,3
TRTW,1560046,4d9dce20597884f5,Afro Beast,Team Afro,FALSE,FALSE,TRUE,60,1
TRTW,1560057,bf15ad7aa52af466,Team Afro,Afro Beast,FALSE,FALSE,TRUE,60,2
TRTW,1560058,c89e4345461cfa01,Afro Beast,Team Afro,FALSE,FALSE,TRUE,60,3
TRTW,1560059,6f7bd93fb875545f,Team Afro,Afro Beast,FALSE,FALSE,TRUE,60,4
TRTW,1560060,b680989accda827d,Afro Beast,Team Afro,FALSE,FALSE,TRUE,60,5
