,teamName,teamId,win,gameNumber,duration,isTiebreaker,isPlayoff,kills,deaths,assists,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,creepsPerMinDeltas.10-20,creepsPerMinDeltas.0-10,xpPerMinDeltas.10-20,xpPerMinDeltas.0-10,goldPerMinDeltas.10-20,goldPerMinDeltas.0-10,damageTakenPerMinDeltas.10-20,damageTakenPerMinDeltas.0-10,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,riftHeraldKills
167,MVP,Blue,FALSE,84,1857,FALSE,FALSE,2,13,3,750338,196796,399826,153712,30856,15235,14280,1337,20258,9,40249,11276,1492,264,43,69501,40408,28266,823,48266,47076,951,145,116,0,1810,70,42,0,142,70,32.8,27.5,2132.2,1879,1602.5,1261.3,1913.4,1619.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,0
168,Afreeca Freecs,Red,TRUE,84,1857,FALSE,FALSE,13,2,37,979754,561008,250255,168486,49393,37339,11227,823,23390,13,60203,75219,25295,340,64,55189,19082,32766,3337,64936,55600,1019,267,135,46,1884,80,52,0,200,73,34.7,28.3,2217.4,1932.9,1990,1377.3,1673.8,1035.2,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,9,1,2,2,1
169,Jin Air GreenWings,Blue,TRUE,85,2153,FALSE,FALSE,16,2,43,815795,485644,283451,46696,88595,53018,31913,3661,63038,12,79322,29044,19359,283,55,95923,45194,48344,2383,62974,57683,1039,187,150,5,1254,79,29,0,170,49,36.3,28.6,2319.2,1898.8,1600.4,1302.3,2809.7,1916.3,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,7,1,0,0,0
170,ROX Tigers,Red,FALSE,85,2153,FALSE,FALSE,2,16,4,858350,410004,391294,57049,60834,40714,17735,2383,33422,7,113346,70013,12121,401,130,124092,57254,63173,3660,60375,60488,1029,236,140,27,3131,79,45,0,182,77,38.4,27.1,2315.1,1846.1,1776.8,1229.6,2642.3,1661.2,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,4,0,2,3,1
171,ROX Tigers,Blue,TRUE,86,2994,FALSE,FALSE,12,6,30,1549173,670294,652979,225896,124136,77069,42644,4419,63539,10,190662,92417,29024,563,151,189916,81546,105849,2518,88504,85475,1360,342,189,75,4302,88,55,0,260,92,34.8,28.7,2381.3,1926,1888.3,1347.4,2451.7,1423.4,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,11,4,1,3,1
172,Jin Air GreenWings,Red,FALSE,86,2994,FALSE,FALSE,6,12,17,1572481,828431,462052,281994,139087,76308,60258,2518,65332,11,145682,40187,6146,401,92,160590,81578,74591,4418,80328,76083,1445,219,175,0,1904,86,59,0,207,100,35,28.1,2196.7,1871.7,1638.3,1252,2528.8,1389.3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3,0,1,2,0
173,Jin Air GreenWings,Blue,FALSE,87,1927,FALSE,FALSE,10,13,24,840027,485784,315982,38258,62183,43229,18659,293,44693,10,55243,26013,4948,234,89,82020,35298,45107,1611,55862,52210,1006,178,139,1,1904,78,26,0,144,44,31.4,27.7,1999.2,1823.5,1597.4,1217.7,2281.7,1545.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,2,0
174,ROX Tigers,Red,TRUE,87,1927,FALSE,FALSE,13,10,39,888739,340014,361591,187126,50672,32250,16806,1612,30281,26,95975,83917,30068,308,113,93026,45287,47444,293,63891,60350,877,191,112,18,2710,78,35,0,154,56,32.6,26.8,2227.9,1884,1889.7,1283.7,1923.5,1408.7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11,4,2,2,1
175,Jin Air GreenWings,Blue,FALSE,88,2872,FALSE,FALSE,3,6,6,1624474,775156,644530,204784,89765,45632,40957,3173,28618,11,158861,40516,14423,509,105,104791,39342,60803,4644,82111,76275,1644,233,192,0,5691,87,41,0,264,112,40.1,28.3,2442.5,1939.9,1644.3,1273.3,1612.5,1366.9,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,6,1,1,1,0
176,KING-ZONE DragonX,Red,TRUE,88,2872,FALSE,FALSE,6,3,13,1879310,678018,878419,322869,76445,36281,35517,4644,45917,11,112499,79828,26604,505,116,131563,51945,76445,3172,94313,87963,1708,394,224,56,5570,89,56,0,273,123,39.1,29.6,2368.2,1945.2,1638.3,1309.7,1969,1417.4,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,11,3,1,3,1
177,KING-ZONE DragonX,Blue,TRUE,89,2522,FALSE,FALSE,7,4,17,1648465,378966,1059815,209679,83895,21240,54798,7852,40571,12,78944,93656,27594,479,71,98198,30057,65138,3000,84691,81903,1367,357,204,51,2018,87,65,0,259,119,35.5,26.2,2305.4,1900.8,1766.4,1328.9,2080.6,1767.1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,11,3,1,6,0
178,Jin Air GreenWings,Red,FALSE,89,2522,FALSE,FALSE,4,7,9,1253627,426329,637717,189577,54657,24328,30327,0,20836,10,102509,19668,1136,412,52,112495,24257,80381,7850,69155,67303,1396,197,162,0,3276,84,52,0,218,111,36.6,28.7,2285.8,1855.5,1752.9,1272.1,1903.4,1630,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,0,0,0,1
179,bbq OLIVERS,Blue,FALSE,90,2424,FALSE,FALSE,10,9,30,1078893,630627,406081,42180,84486,61042,22034,1409,63405,11,131750,60195,15243,369,90,120384,59000,56061,5319,71793,68625,1242,227,147,23,2408,85,49,0,159,76,34.9,28.4,2474.6,1904.6,1765.4,1244.2,2296.9,1637.4,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,5,0,1,4,0
180,MVP,Red,TRUE,90,2424,FALSE,FALSE,9,10,32,1236425,605192,410986,220243,87362,56325,25712,5320,48682,11,109136,41868,20525,342,194,116906,64663,50831,1409,74097,65500,1301,250,174,6,5707,86,60,0,180,64,36.8,27.8,2258.8,1909.6,1613.1,1287.2,2460.2,1504.7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,7,1,1,1,0
181,MVP,Blue,TRUE,91,1425,FALSE,FALSE,7,1,16,673262,293788,199237,180232,41905,25328,13791,2783,37984,16,50146,42558,21901,212,141,56706,20020,36018,663,48006,38075,719,153,98,9,2605,66,29,0,86,55,34.2,28,2249.5,1947.3,1932.4,1322.4,2148.8,1504.7,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,9,2,1,1,0
182,bbq OLIVERS,Red,FALSE,91,1425,FALSE,FALSE,1,7,2,411561,162965,227893,20699,28666,16947,11053,663,17104,8,63077,18834,458,153,70,63454,27636,33032,2783,34399,33000,687,114,94,0,1136,59,23,0,108,19,32.5,29.3,2056.9,1971.2,1475.6,1268.3,2893,1469.5,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,1,1
183,SK telecom T1,Blue,TRUE,92,1712,FALSE,FALSE,13,1,36,810667,394918,225652,190093,55643,38480,16858,304,59955,12,86730,64901,25499,274,94,88540,29178,57383,1973,60420,47200,926,183,119,13,1594,76,34,0,143,61,34.9,27.9,2402.6,1903.3,2038.8,1255.2,2953.3,1616.7,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,11,3,1,3,0
184,KSV,Red,FALSE,92,1712,FALSE,FALSE,1,13,4,683566,212703,304040,166820,56132,26035,28119,1973,20030,10,66659,15668,1736,251,109,78272,41913,36052,304,44328,41758,857,164,125,7,7876,68,45,0,138,49,34.7,29.1,2170.9,1915,1613.7,1307.6,2832.2,1266.8,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,0,0,1
185,KSV,Blue,FALSE,93,2130,FALSE,FALSE,3,12,8,867648,447158,359248,61239,80187,46877,30135,3172,24961,18,151491,29470,2773,394,133,104166,37665,63319,3179,57039,55000,1178,202,143,21,5775,80,53,0,189,86,39.5,29.9,2506.3,1885.3,1805.3,1288.5,1896.3,1469.2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1,0,0,3,0
186,SK telecom T1,Red,TRUE,93,2130,FALSE,FALSE,12,3,37,1033825,286815,541173,205833,81546,35645,42719,3179,53825,16,118238,70194,28823,337,100,125206,52028,70004,3170,70933,68083,1095,207,131,18,2099,84,51,0,183,83,35.9,26.6,2263.3,1903,1652.3,1304.1,2555.5,1577.2,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,11,3,2,0,1
187,KONGDOO MONSTER,Blue,FALSE,94,2139,FALSE,FALSE,4,16,9,903827,275960,449122,178739,68928,29906,38238,783,17380,9,89381,9810,4705,261,110,97205,53037,43177,988,55512,52668,1072,152,129,0,2779,77,49,0,189,71,34.1,28.8,2058.1,1905.4,1497,1263.4,2309.5,1193.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0
188,kt Rolster,Red,TRUE,94,2139,FALSE,FALSE,16,4,47,1189506,537025,334584,317894,74114,51029,22094,988,65768,11,110398,82065,18928,415,86,105980,35891,69305,783,72423,64225,1176,233,132,31,2523,83,41,0,189,106,38.8,30.7,2575.8,1978.3,2114,1403.8,1840.7,1296.1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11,3,1,3,1
189,kt Rolster,Blue,TRUE,95,2117,FALSE,FALSE,13,3,33,1280356,439231,475230,365892,73053,33304,33859,5886,46801,9,82195,44068,21036,338,102,85999,33616,49541,2838,70553,66063,1188,242,157,21,1589,84,54,0,154,87,35.5,29.7,2344.8,1952.1,1751.3,1292.9,1813.3,1720.9,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,9,2,1,1,0
