,participantId,teamId,championId,spell1Id,spell2Id,highestAchievedSeasonTier,summonerName,profileIcon,name,win,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,role,lane,creepsPerMinDeltas.10-20,creepsPerMinDeltas.0-10,creepsPerMinDeltas.30-end,creepsPerMinDeltas.20-30,xpPerMinDeltas.10-20,xpPerMinDeltas.0-10,xpPerMinDeltas.30-end,xpPerMinDeltas.20-30,goldPerMinDeltas.10-20,goldPerMinDeltas.0-10,goldPerMinDeltas.30-end,goldPerMinDeltas.20-30,csDiffPerMinDeltas.10-20,csDiffPerMinDeltas.0-10,csDiffPerMinDeltas.30-end,csDiffPerMinDeltas.20-30,xpDiffPerMinDeltas.10-20,xpDiffPerMinDeltas.0-10,xpDiffPerMinDeltas.30-end,xpDiffPerMinDeltas.20-30,damageTakenPerMinDeltas.10-20,damageTakenPerMinDeltas.0-10,damageTakenPerMinDeltas.30-end,damageTakenPerMinDeltas.20-30,damageTakenDiffPerMinDeltas.10-20,damageTakenDiffPerMinDeltas.0-10,damageTakenDiffPerMinDeltas.30-end,damageTakenDiffPerMinDeltas.20-30,gameNumber,isTiebreaker,isPlayoff,duration,teamName,teamRole
179,9,Red,15,7,4,UNRANKED,SKT Bang,20,Sivir,TRUE,3508,3036,3139,3031,3087,3047,3363,5,1,10,5,1,1,908,0,0,0,0,0,526657,100692,423376,2588,1485,40063,3576,35721,766,5164,5,25521,40299,9030,82,0,16689,6636,9614,438,23800,20625,2,0,544,53,45,0,183,18,3,0,23,38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8326,2,0,0,8313,0,0,0,8304,10,0,0,8347,0,0,0,9101,3885,8730,0,9103,18,30,0,8300,8000,DUO_CARRY,BOTTOM,12.4,9,12.93333333,12.2,554.6,347.3,643.3333333,559.5,455.9,293.7,644.6666667,483.1,-0.25,-0.3,0.8,-0.5,-7.55,4.5,90.76666667,54.85,301.9,254.2,383,202.7,76.65,15.3,-34.46666667,87.55,18,FALSE,FALSE,2788,SK telecom T1,BOTCARRY
180,10,Red,223,4,3,UNRANKED,SKT Effort,20,Tahm Kench,TRUE,2303,1011,2055,3190,3109,3111,3364,1,2,10,0,1,0,756,0,0,0,0,0,28814,14238,8337,6237,0,7969,7254,674,41,9589,5,51634,4737,2141,126,24,24306,8001,15144,1160,13764,12350,1,0,109,0,0,0,142,17,30,0,82,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8465,5118,0,0,8463,1660,0,0,8429,78,18,15,8444,1570,0,0,8345,4,0,0,8321,7,0,0,8400,8300,DUO_SUPPORT,BOTTOM,3.3,2.7,1.666666667,2.4,290.6,279.5,427.1333333,355,267.2,181.6,331.4,299.4,-0.25,-0.3,0.8,-0.5,-7.55,4.5,90.76666667,54.85,608.9,294.6,555.1333333,390.8,76.65,15.3,-34.46666667,87.55,18,FALSE,FALSE,2788,SK telecom T1,SUPPORT
181,1,Blue,57,4,12,UNRANKED,SKT Untara,7,Maokai,FALSE,3047,3800,3110,3083,3065,3075,3340,1,7,5,0,1,0,1255,0,0,0,0,0,218922,177567,36782,4571,29,17074,15615,971,487,11104,1,67282,3338,1925,70,80,45010,16785,27620,604,17651,19420,1,0,341,0,0,0,1155,18,8,0,35,23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,1425,0,0,8446,1198,0,0,8429,80,18,13,8444,1206,0,0,8304,10,0,0,8347,0,0,0,8400,8300,SOLO,TOP,9,4.5,6.9,6.8,451.8,387.1,594.55,499.6,366.2,193.6,388.15,349.6,-1.5,-4.4,0.55,-2.1,-113.9,-81.6,116.3,-55.5,225.8,480.7,1171.8,763.9,-143.2,254.2,288.15,-323,19,FALSE,FALSE,3132,SK telecom T1,TOP
182,2,Blue,102,11,4,UNRANKED,SKT Wolf,7,Shyvana,FALSE,1418,3022,3111,3026,3193,3143,3364,4,4,5,2,1,2,1481,0,0,0,0,0,234442,118083,100570,15789,0,11038,7868,3036,133,16075,1,49614,20412,1547,247,7,44752,13641,30620,490,17650,17685,0,0,77,226,155,10,1124,18,14,0,113,62,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,1109,681,428,9111,822,0,0,9104,16,20,0,8014,281,0,0,8136,67,0,0,8105,3,0,0,8000,8100,NONE,JUNGLE,1.7,0.2,2.1,1.3,393.2,380.4,534.5,340.4,388.6,272.7,343.7,325.4,0.9,-0.5,0.25,-0.4,40.7,58.6,152.6,-101.1,647.2,545.8,834.7,999.2,-117.5,71.8,187.15,62.2,19,FALSE,FALSE,3132,SK telecom T1,JUNGLE
183,3,Blue,13,7,4,UNRANKED,SKT Faker,7,Ryze,FALSE,3040,3165,3135,3027,3089,3020,3340,5,3,6,4,1,1,1959,0,0,0,0,0,553177,535176,13570,4430,1591,40552,39143,626,781,5663,1,31672,22756,6617,79,42,28024,9906,18082,36,24586,22245,1,0,513,92,41,30,116,18,9,0,37,25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8326,2,0,0,8313,0,0,0,8304,10,0,0,8347,0,0,0,8237,777,0,0,8234,30,0,0,8300,8200,SOLO,MIDDLE,9.7,9,10,11.4,569.9,471,708.15,626.5,451.8,287.9,528.05,558.7,1.5,1.7,4.55,4.8,130.4,-5.2,301.6,153,358.1,158.5,526.5,535,-92.4,-114.6,-120.65,76,19,FALSE,FALSE,3132,SK telecom T1,MID
184,4,Blue,15,7,4,UNRANKED,SKT Bang,20,Sivir,FALSE,3036,3508,3139,3031,3087,3046,3363,3,1,9,3,1,1,3082,0,0,0,0,0,545122,98979,429613,16529,1326,47777,3442,42485,1850,8432,5,32600,29934,8004,84,5,22257,7584,14504,168,24406,22750,2,0,522,80,41,20,406,18,4,0,26,26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8326,2,0,0,8313,0,0,0,8304,10,0,0,8347,0,0,0,9101,4513,9084,0,9103,17,30,0,8300,8000,DUO_CARRY,BOTTOM,10,9.5,9.6,12.4,466.5,314.8,628.1,634.7,467.4,307.7,529.35,486.4,0.1,-0.45,-0.95,-0.35,65.3,-12.2,68.625,-99.95,242.9,210.3,481.8,356,95.75,7.2,-69.475,110.55,19,FALSE,FALSE,3132,SK telecom T1,BOTCARRY
185,5,Blue,223,4,3,UNRANKED,SKT Effort,20,Tahm Kench,FALSE,2303,3109,0,3190,3082,3047,3364,1,3,11,0,1,0,1140,0,0,0,0,0,51597,29782,9320,12493,0,6814,6296,518,0,8926,5,60422,5892,1597,144,21,28272,10613,16609,1048,15598,13625,2,0,136,0,0,0,287,17,29,0,87,29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8465,5759,0,0,8463,1194,0,0,8429,80,18,13,8444,1472,0,0,8345,4,0,0,8321,10,0,0,8400,8300,DUO_SUPPORT,BOTTOM,4,2.6,1.6,3.5,308.4,287.9,373.6,350.3,335.3,180.9,300.3,336.5,0.1,-0.45,-0.95,-0.35,65.3,-12.2,68.625,-99.95,432.2,329,586.1,487.8,95.75,7.2,-69.475,110.55,19,FALSE,FALSE,3132,SK telecom T1,SUPPORT
186,6,Red,150,12,4,UNRANKED,JAG SoHwan,19,Gnar,TRUE,3143,3193,3194,3083,3071,3111,3340,1,1,13,0,1,0,1651,0,0,0,0,0,318539,38012,277408,3117,434,19859,4257,15548,53,9678,1,48260,16392,7165,100,49,40198,20707,18874,616,20484,21325,2,0,415,32,20,4,2226,18,7,0,63,15,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8021,7578,0,0,9101,1386,2201,0,9104,14,30,0,8014,164,0,0,8139,1442,0,0,8136,27,0,0,8000,8100,SOLO,TOP,10.5,8.9,6.35,8.9,565.7,468.7,478.25,555.1,509.1,302,345.9,416.7,1.5,4.4,-0.55,2.1,113.9,81.6,-116.3,55.5,369,226.5,883.65,1086.9,143.2,-254.2,-288.15,323,19,FALSE,FALSE,3132,Jin Air GreenWings,TOP
187,7,Red,59,11,4,UNRANKED,JAG UmTi,19,Jarvan IV,TRUE,3193,3109,1408,3026,3111,3071,3364,2,4,15,0,1,0,805,0,0,0,0,0,186141,23746,145148,17246,0,12291,1560,10559,172,16383,1,53183,18949,3524,191,28,39471,13148,25346,976,16548,15600,1,0,70,161,123,0,481,18,13,0,109,41,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,1157,0,0,8143,316,0,0,8136,59,0,0,8105,5,0,0,8313,0,0,0,8304,9,0,0,8100,8300,NONE,JUNGLE,0.8,0.7,1.85,1.7,352.5,321.8,381.9,441.5,304.2,267.1,322.45,315.1,-0.9,0.5,-0.25,0.4,-40.7,-58.6,-152.6,101.1,764.7,474,647.55,937,117.5,-71.8,-187.15,-62.2,19,FALSE,FALSE,3132,Jin Air GreenWings,JUNGLE
188,8,Red,136,1,4,UNRANKED,JAG Justice,552,Aurelion Sol,TRUE,3151,3116,1058,3001,3135,3020,3363,2,4,15,0,1,0,904,0,0,0,0,0,243371,229632,13606,133,0,30877,29532,1212,133,3282,1,16552,5383,2627,73,41,26471,17268,8924,279,17373,16375,0,1,333,10,9,0,1679,18,21,0,35,21,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8230,19,0,0,8224,591,0,0,8234,22,0,0,8237,562,0,0,8009,2196,0,0,8014,616,0,0,8200,8000,SOLO,MIDDLE,8.2,7.3,5.45,6.6,439.5,476.2,406.55,473.5,323.3,308.3,325.35,334.3,-1.5,-1.7,-4.55,-4.8,-130.4,5.2,-301.6,-153,450.5,273.1,647.15,459,92.4,114.6,120.65,-76,19,FALSE,FALSE,3132,Jin Air GreenWings,MID
