,teamName,summonerName,wins,losses,teamRole,duration,kills,deaths,assists,KDA,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,creepsPerMinDeltas.10.20,creepsPerMinDeltas.0.10,xpPerMinDeltas.10.20,xpPerMinDeltas.0.10,goldPerMinDeltas.10.20,goldPerMinDeltas.0.10,damageTakenPerMinDeltas.10.20,damageTakenPerMinDeltas.0.10
13,ahq e-Sports Club,ahq Tuna,6,9,SUPPORT,2379.6,0.333333333,2.533333333,5.4,2.263157895,107212.9333,9413.4,7677.666667,90120.8,3857.6,3217.066667,443.5333333,196.3333333,7333.8,5.2,24610.33333,2149.666667,816.4,99.73333333,16.86666667,17612.26667,6972,9948.333333,691.2,9966.933333,9108,0.2,0,76.86666667,0.8,0.266666667,0,180.8,14.4,20.2,0,66.46666667,13.66666667,0,0,0.266666667,0,0.266666667,2.613333333,1.933333333,294.1733333,286.3466667,245.6733333,164.7933333,413.44,224.9
14,ahq e-Sports Club,AHQ Tuna,0,1,SUPPORT,2490,1,5,1,0.4,99618,3638,6211,89768,3780,2658,358,764,4555,5,31717,131,0,85,19,22131,7939,9943,4248,8846,8500,0,0,63,0,0,0,34,14,18,0,62,7,0,0,0,0,0,1.6,1.2,271.6,267.8,165.2,137.8,307.4,344.9
15,ahq e-Sports Club,ahq Wako,6,9,MID,2379.6,2.6,1.666666667,3.866666667,3.88,359113.2,275158.5333,15578.66667,68374.86667,20933.2,20095.4,616.7333333,220.5333333,2994.466667,1,14360.53333,10624.66667,3273.4,57.13333333,22.66666667,15239,7147.533333,7730.6,360.2666667,16486.6,15041.33333,0.866666667,0.2,379.5333333,31,22.6,4.266666667,311.2666667,17.8,8.533333333,0,27.13333333,18.4,0.333333333,0,0.066666667,0.066666667,0.133333333,10.92666667,8.746666667,572.7866667,484.4666667,417.9,300.8,269.1933333,178.8733333
16,ahq e-Sports Club,AHQ Wako,6,6,MID,2408.416667,2.666666667,1.583333333,5,4.842105263,364733.5833,256694.5833,19316.33333,88722.08333,20111.75,18873.66667,1078.083333,159.8333333,3613.25,1.333333333,14455.75,14848.33333,3965.666667,60.75,18,14656.5,7731.083333,6224.333333,700.4166667,16459.25,14901.66667,1.5,0.5,364.1666667,30.08333333,22.75,3.25,599.25,17.58333333,10,0,26.5,18,0.333333333,0.166666667,0,0.333333333,0.083333333,10.58333333,8.825,563.4833333,487.3416667,392.025,297.925,270.0833333,177.7833333
17,ahq e-Sports Club,ahq Ziv,6,9,TOP,2379.6,1.666666667,2.266666667,3.733333333,2.382352941,305499.6667,90049.13333,194571.5333,20878,21264.46667,9593,10498.53333,1172.066667,14380.66667,1,28219.66667,7451.2,2314.533333,53.73333333,24.46666667,28493.86667,8694.666667,18631.66667,1166.6,16063.86667,15431.2,0.733333333,0.066666667,344.6,16.46666667,6.733333333,1.8,818,17.73333333,5.4,0,28.86666667,9.4,0.133333333,0.2,0.066666667,0.066666667,0.133333333,10.08666667,8.113333333,543.6466667,466.5533333,410.96,286.4066667,524.5933333,316.0666667
18,ahq e-Sports Club,AHQ Ziv,8,8,TOP,2346.375,1.6875,1.75,4.875,3.75,278867.5625,110222,101018.1875,67626.4375,18107.6875,11110.375,5851.875,1145.125,13372.5,1,37922.375,7491.5,2333,48.375,43.375,28425.625,10556.5625,16814.75,1053.5,15041.9375,14415.25,0.875,0.1875,328,12.5,3.125,1.5625,908.0625,17.125,4.0625,0,24.9375,8.9375,0,0.0625,0.0625,0.0625,0.25,10.3125,8.1375,542.1125,462.075,390.5,280.83125,537.1375,378.7375
19,Flash Wolves,FW Betty,29,5,BOTCARRY,2034.176471,4.117647059,0.970588235,5.676470588,10.09090909,237177.8824,40606.17647,190545.3235,6025.647059,22838.02941,4798.794118,17303.17647,735.5294118,3462.529412,2.823529412,10357.58824,22245.58824,10647.23529,47.17647059,17.02941176,13262.55882,5030.647059,7918.882353,312.3235294,15827.02941,14289.08824,3.029411765,0.558823529,322.7058824,31.79411765,16.58823529,6.588235294,644.8235294,16.14705882,4.647058824,0,14.73529412,14.82352941,0.176470588,0.176470588,0.205882353,0.352941176,0.411764706,10.70294118,8.785294118,463.6970588,329.0176471,437.7147059,301.4558824,328.5441176,215.3558824
20,Flash Wolves,FW Hanabi,24,3,TOP,2024.037037,2.185185185,1.148148148,5.481481481,6.677419355,207872.0741,71743.14815,111375.8519,24752.25926,15112.37037,7461.444444,6957.296296,693,7588.481481,1.148148148,26896.92593,5845.62963,2718.074074,46.2962963,30.11111111,22144.37037,8341,13330.85185,471.8148148,13918.74074,12665.22222,0.888888889,0.111111111,280.5185185,10.48148148,4.185185185,1.740740741,764.4074074,16.81481481,7.777777778,0,25.2962963,7.037037037,0,0,0.037037037,0.074074074,0.444444444,9.748148148,8.040740741,541.6888889,466.6333333,408.7666667,281.5037037,534.4037037,361.9592593
21,Flash Wolves,FW Maple,29,5,MID,2034.176471,4,1.088235294,5.088235294,8.351351351,231461.2941,201435.1176,14295,15730.5,19618.82353,18886.76471,358.0882353,373.4411765,3766.147059,1.294117647,11264.70588,12806.76471,4561.352941,48,20.91176471,12921.14706,5684.323529,6877.588235,358.4705882,14878,13203.82353,1.382352941,0.5,309.5,29.11764706,19.61764706,5.441176471,1659.058824,17.11764706,8.058823529,0,25.82352941,10.58823529,0.147058824,0.058823529,0.088235294,0.264705882,0.382352941,10.48529412,9.114705882,557.2764706,484.3941176,417.9529412,305.2617647,322.9529412,185.2264706
22,Flash Wolves,FW MMD,5,2,TOP,2073.285714,1.714285714,2,7.142857143,4.428571429,191122.2857,49261.14286,135624.8571,6235.714286,14641,5985,8036,619.5714286,4383,1.285714286,23296.71429,6398.285714,4009.142857,34.57142857,34.14285714,20617.57143,8442.571429,11668.28571,505.7142857,13461,12366.57143,1.142857143,0.142857143,268.7142857,6.857142857,2.571428571,2,989,17.28571429,4.857142857,0,19.85714286,5.285714286,0.142857143,0,0,0,0.571428571,9.285714286,7.285714286,538.3857143,438.8,383.9714286,276.8285714,509.4285714,386.5714286
23,Flash Wolves,FW Moojin,28,3,JUNGLE,1979,1.870967742,1.129032258,6.806451613,7.685714286,160357.2581,35180.45161,104806.4839,20369.45161,7842.064516,1887.741935,5153.225806,800.3225806,12405.32258,2.290322581,20628.96774,17352.32258,1643.193548,111.0645161,14.06451613,24724.6129,7489.870968,16710,524.2580645,11722.06452,10627.22581,0.903225806,0.129032258,46.19354839,143.516129,91.06451613,12.12903226,689.3870968,15.03225806,12.06451613,0,62.74193548,18.5483871,0.193548387,0.161290323,0.096774194,0.096774194,0.483870968,1.44516129,0.403225806,408.1225806,339.7387097,328.6548387,267.8193548,665.9193548,570.3032258
24,Flash Wolves,FW Morning,1,2,JUNGLE,2604.333333,1.666666667,2.333333333,8,4.142857143,170581.3333,41827,98085.33333,30667.66667,7276,1316,4593.333333,1365.666667,14036.66667,1,37489.66667,21709.66667,1828,116.3333333,16,35346,12580.33333,21158.33333,1606.666667,13161,12191.66667,0.666666667,0,69,136,76.66666667,21,738.6666667,15.33333333,13.66666667,0,55.33333333,32.33333333,0,0.333333333,0,0,0.666666667,1.033333333,0.433333333,373.1666667,308.8666667,327.2666667,251.3,770.5666667,588.6333333
25,Flash Wolves,FW ShiauC,1,0,SUPPORT,1959,1,2,10,5.5,43982,20458,11380,12144,5143,3065,1065,1012,13051,5,14102,1021,851,64,20,16852,6080,10133,638,9101,7625,0,0,61,0,0,0,118,13,11,0,44,9,0,0,0,0,1,2.7,1.4,330.4,289.6,242.6,164,473.1,236.9
26,Flash Wolves,FW SwordArt,28,5,SUPPORT,2036.454545,0.727272727,1.03030303,8.393939394,8.852941176,92296.84848,8912.30303,9374.69697,74008.84848,5422.424242,4366.515152,539.7878788,515.3333333,5292.969697,4.575757576,16445.39394,3425.484848,2087.121212,76.18181818,23.15151515,13318.36364,5377.181818,7431.757576,508.7272727,9274.878788,7988.181818,0.606060606,0.090909091,55.6969697,0.181818182,0.060606061,0,190.8787879,13.54545455,13.18181818,0,46.18181818,11.06060606,0.060606061,0.060606061,0.303030303,0.060606061,0.666666667,2.024242424,1.312121212,275.6121212,284.0848485,251.1787879,164.7212121,341.930303,210.9757576
27,G-Rex,GRX baybay,22,8,JUNGLE,2198.033333,1.633333333,2.233333333,7.766666667,4.208955224,147202.1,47723.43333,84521.26667,14956.3,7710.366667,2246.566667,4391.466667,1071.366667,16553.7,2.133333333,28799.6,14044.03333,929.0666667,98.13333333,18.86666667,32935.53333,9808.3,21781.9,1344.533333,11556.06667,10568.93333,0.333333333,0.2,35.6,136.5,96.63333333,9.533333333,691.8,15.3,17.5,0,57.23333333,20.7,0.133333333,0,0.166666667,0.133333333,0.366666667,0.97,0.303333333,398.8,324.3033333,299.0966667,253.6533333,756.75,648.9466667
28,G-Rex,GRX Candy,12,8,MID,2200.95,2.55,1.7,5.35,4.647058824,352236.05,223700.25,16687.85,111846.85,17421.85,16334.8,768.8,317.5,2984.65,1.65,10655.3,9991.6,3369.6,46.3,21.8,13028.5,6534.65,6022.85,470.35,14941.45,13505.4,1.05,0.35,323.7,29.85,22.35,2.45,739.2,17.4,6.8,0,23.8,10.3,0.05,0.05,0,0.2,0.4,10.66,8.835,545.665,477.255,397.43,298.47,258.265,183.91
29,G-Rex,GRX Empt2y,4,3,JUNGLE,2145.571429,1.571428571,1.857142857,3.857142857,2.923076923,141471,41855.28571,86507,13108.28571,4603.428571,1336.571429,3025.285714,241,9351,1,21926.57143,14871.71429,1412.142857,104.2857143,9.142857143,23327.85714,7183.571429,15787.42857,356,11525,10660.71429,0.571428571,0.142857143,48.71428571,134.2857143,101.5714286,5.285714286,655.8571429,14.85714286,13.57142857,0,54.28571429,20.57142857,0,0.142857143,0.285714286,0,0.285714286,1.528571429,0.642857143,426.9142857,325.4714286,328.8142857,242.0857143,593.6428571,450.6285714
30,G-Rex,GRX Koala,26,11,SUPPORT,2188.108108,0.702702703,1.891891892,7.837837838,4.514285714,90545.48649,11181.83784,8333.540541,71029.02703,5343.918919,4184.081081,635.2162162,523.9189189,6514.297297,3.864864865,23811.13514,2365.135135,1010.513514,84.02702703,22.62162162,17911.43243,7222.486486,10012.83784,675.3513514,9434.621622,8364.189189,0.351351351,0.027027027,56.32432432,0.27027027,0.027027027,0,169.6216216,14.40540541,17.08108108,0,54.89189189,9.72972973,0,0.027027027,0.243243243,0.027027027,0.405405405,1.97027027,1.421621622,310.2837838,287.427027,236.1405405,163.1,358.9351351,258.4891892
31,G-Rex,GRX PK,26,11,TOP,2188.108108,2.216216216,2.108108108,5.405405405,3.615384615,205550.1622,68831.75676,122701.4595,14016.10811,16393.43243,7332.72973,8003.891892,1056.162162,6761.945946,1.162162162,38633.32432,6010.972973,3110.432432,40.45945946,47.10810811,27961.86486,10376.7027,16077,1507.513514,14174.45946,13243,1.189189189,0.108108108,302.7837838,10.97297297,3.567567568,4.324324324,1220.810811,17.32432432,4.27027027,0,20.64864865,7.621621622,0.162162162,0.162162162,0.027027027,0.108108108,0.351351351,9.767567568,8.094594595,544.0594595,460.8324324,380.9216216,283.1216216,564.7675676,354.2702703
32,G-Rex,GRX Stitch,26,11,BOTCARRY,2188.108108,4,1.513513514,5.081081081,6,296392.1622,57526.81081,231914.4054,6950.054054,24230.56757,4993.108108,18452.18919,784.5675676,3694.081081,2.918918919,12244.2973,21308.16216,10003.37838,51.08108108,16.51351351,12749.94595,5456.567568,6874.027027,418.6756757,17175.27027,15416.2973,2.972972973,0.405405405,376.6486486,36.32432432,21.02702703,6.378378378,509.8918919,16.59459459,4.945945946,0,14.67567568,18.13513514,0,0.27027027,0.054054054,0.216216216,0.351351351,11.25405405,9.018918919,444.7243243,323.6027027,431.5,293,286.6972973,204.6297297
33,G-Rex,GRX Wuji,14,3,MID,2173,4,1.470588235,5.411764706,6.4,345813.4706,231815.2941,14046.41176,99951.05882,16390.52941,15873.58824,409.2352941,107.2941176,5505.235294,1.411764706,10770.94118,13342.47059,3116.764706,52.58823529,22.05882353,14847.64706,7211.235294,7149.823529,485.8823529,15674.58824,14246.17647,1,0.117647059,328.1176471,33.82352941,24,2.882352941,2115.705882,17.41176471,12.41176471,0,28.70588235,12.70588235,0.235294118,0.058823529,0.058823529,0,0.529411765,10.63529412,8.876470588,565.9882353,483.9,416.0235294,300.7235294,337.9058824,226.8941176
