,participantId,teamId,championId,spell1Id,spell2Id,highestAchievedSeasonTier,summonerName,profileIcon,name,win,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,role,lane,creepsPerMinDeltas.10-20,creepsPerMinDeltas.0-10,xpPerMinDeltas.10-20,xpPerMinDeltas.0-10,goldPerMinDeltas.10-20,goldPerMinDeltas.0-10,csDiffPerMinDeltas.10-20,csDiffPerMinDeltas.0-10,xpDiffPerMinDeltas.10-20,xpDiffPerMinDeltas.0-10,damageTakenPerMinDeltas.10-20,damageTakenPerMinDeltas.0-10,damageTakenDiffPerMinDeltas.10-20,damageTakenDiffPerMinDeltas.0-10,gameNumber,isTiebreaker,isPlayoff,duration,teamName,teamRole,creepsPerMinDeltas.20-30,xpPerMinDeltas.20-30,goldPerMinDeltas.20-30,csDiffPerMinDeltas.20-30,xpDiffPerMinDeltas.20-30,damageTakenPerMinDeltas.20-30,damageTakenDiffPerMinDeltas.20-30,creepsPerMinDeltas.30-end,xpPerMinDeltas.30-end,goldPerMinDeltas.30-end,csDiffPerMinDeltas.30-end,xpDiffPerMinDeltas.30-end,damageTakenPerMinDeltas.30-end,damageTakenDiffPerMinDeltas.30-end
614,4,Blue,81,4,7,UNRANKED,AFR DalKa,632,Ezreal,FALSE,3153,3156,3158,3025,3042,3033,3363,2,0,1,2,1,1,0,0,0,0,0,0,296942,26782,262810,7350,0,34958,8335,25554,1069,2627,2,13634,7035,1503,46,38,19311,10010,8862,438,17790,16900,0,0,407,14,14,0,1412,17,2,0,19,15,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8359,515,29,0,8313,0,0,0,8345,4,0,0,8347,0,0,0,8210,11,0,0,8236,48,0,0,8300,8200,DUO,BOTTOM,10.6,8.4,402,319,375.3,322.8,0,0,0,0,413.1,231.3,0,0,62,FALSE,FALSE,2753,Team Afro,BOTCARRY,10,451.9,412.3,0,0,531.1,0,7.4,422.4,392.7333333,0,0,399.5333333,0
615,5,Blue,223,4,14,UNRANKED,AFR Zest,636,Tahm Kench,FALSE,3190,1028,3140,3401,0,3111,3364,0,3,3,0,0,0,1311,0,0,0,0,0,42523,21438,8304,12780,0,6676,5665,339,671,7650,5,30815,391,0,109,18,23888,9493,13773,621,9627,9200,0,0,87,0,0,0,178,15,24,0,66,25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8351,6,0,0,8304,9,3,0,8345,4,0,0,8410,99,0,0,8429,78,15,16,8444,1463,0,0,8300,8400,DUO,BOTTOM,3,1.7,359.2,292.5,208.6,164.3,0,0,0,0,460.3,238.3,0,0,62,FALSE,FALSE,2753,Team Afro,SUPPORT,1.9,280.4,187.8,0,0,602.8,0,1.333333333,341,218.6,0,0,473.3333333,0
616,6,Red,516,14,4,UNRANKED,M17 3z,13,Ornn,TRUE,3190,3083,3194,3110,3379,3111,3340,2,0,6,2,1,1,0,0,0,0,0,0,195454,86625,100829,8000,0,13174,9063,3930,180,3165,1,61246,5230,501,59,40,23788,7406,16033,348,16440,15900,0,0,304,14,1,5,2766,18,2,0,20,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8326,1,0,0,8304,9,3,0,8345,4,0,0,8347,0,0,0,8429,78,20,22,8444,1407,0,0,8300,8400,NONE,JUNGLE,11.2,7.9,587,500,369.6,289.7,0,0,0,0,475.7,289.6,0,0,62,FALSE,FALSE,2753,Machi Esports,TOP,7.8,573.5,418.1,0,0,458.3,0,2.333333333,363.0666667,300.4666667,0,0,732.6666667,0
617,7,Red,72,4,11,UNRANKED,M17 Move,550,Skarner,TRUE,3800,1409,3109,0,3194,3111,3364,1,1,7,0,1,0,708,0,0,0,0,0,156782,60925,78663,17193,0,4435,2149,1842,444,10923,1,52510,18826,314,214,19,25262,7074,17402,786,14888,13400,0,0,62,160,103,9,1125,17,22,0,122,43,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8124,409,0,0,8126,274,0,0,8136,69,0,0,8105,4,0,0,8232,11,10,0,8234,28,0,0,8100,8200,NONE,JUNGLE,1.5,0.6,377.8,305,312.1,236.7,0,0,0,0,573.5,496.8,0,0,62,FALSE,FALSE,2753,Machi Esports,JUNGLE,2.2,465.9,380.2,0,0,482.5,0,1.2,321.9333333,302.5333333,0,0,518,0
618,8,Red,42,1,4,UNRANKED,M17 Apex,4,Corki,TRUE,3139,3087,3094,3384,3031,3020,3363,2,2,4,0,1,0,1010,0,0,0,0,0,448557,392368,50603,5586,995,34343,32314,1608,420,8401,1,11310,40029,12125,57,0,26876,17742,8898,236,22230,20008,5,0,487,46,26,18,271,18,11,0,32,20,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8021,11765,0,0,8009,1510,0,0,9104,19,0,0,8014,322,0,0,8435,13,0,0,8444,1312,0,0,8000,8400,NONE,JUNGLE,11.3,8.9,553.9,495.1,419.9,289.9,0,0,0,0,696.2,296.2,0,0,62,FALSE,FALSE,2753,Machi Esports,MID,8.3,616.2,523.7,0,0,650.3,0,13.06666667,721.8,580.4,0,0,577.2,0
619,9,Red,18,7,4,UNRANKED,M17 Deul,4,Tristana,TRUE,3371,3036,3139,3006,3087,3094,3363,5,0,4,5,1,1,0,0,0,0,0,0,416023,137331,273321,5370,1252,40139,10222,28517,1400,7523,2,18282,47563,16207,65,6,20314,7411,12608,295,21605,19200,4,3,461,45,28,9,294,18,4,0,14,36,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8021,17922,0,0,9101,5656,11264,0,9103,21,50,0,8017,1892,0,0,8234,18,0,0,8236,48,0,0,8000,8200,NONE,JUNGLE,12,8.6,403.9,311.2,387.3,272.1,0,0,0,0,619.2,288.7,0,0,62,FALSE,FALSE,2753,Machi Esports,BOTCARRY,11.2,574.9,543.4,0,0,432.1,0,9.333333333,590.8666667,540.4,0,0,324.5333333,0
620,10,Red,201,4,14,UNRANKED,M17 Dreamer,541,Braum,TRUE,3383,3401,2055,3109,3211,3111,3364,0,2,9,0,0,0,1635,0,0,0,0,0,188022,10676,8534,168811,0,9614,8816,498,300,6677,2,30393,1457,190,92,38,26212,11006,14608,598,11870,11025,1,0,72,0,0,0,589,16,19,0,70,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8326,1,0,0,8304,10,0,0,8316,966,0,0,8339,0,0,0,8444,1571,0,0,8429,78,19,17,8300,8400,SOLO,BOTTOM,3,2,344.3,297.6,225.5,165.4,0,0,0,0,442.8,255.1,0,0,62,FALSE,FALSE,2753,Machi Esports,SUPPORT,1.3,451.9,287.1,0,0,611,0,0.6,301.6,262.3333333,0,0,791.5333333,0
621,1,Blue,41,12,4,UNRANKED,M17 3z,13,Gangplank,FALSE,3142,3053,3046,3078,3111,3031,3364,1,0,5,0,1,0,0,0,0,0,0,0,415071,21815,373580,19677,1276,24775,6994,14319,3462,10249,5,18357,6923,5387,52,27,27321,12387,14548,384,19021,17858,2,0,357,40,19,12,1122,18,1,0,17,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8359,515,15,0,8304,9,3,0,8345,4,0,0,8347,0,0,0,8435,10,0,0,8444,1740,0,0,8300,8400,DUO,MIDDLE,11.5,7.6,635.6,472.1,547.6,344.1,0,0,0,0,725.7,425.1,0,0,63,FALSE,FALSE,2460,Machi Esports,TOP,10.9,657.5,630.5,0,0,865.5,0,5.4,289,311,0,0,470.5,0
622,2,Blue,113,4,11,UNRANKED,M17 Move,550,Sejuani,FALSE,3143,1409,2055,1033,3083,3111,3364,3,4,2,2,1,1,1247,0,0,0,0,0,121569,44810,63595,13164,0,6451,2893,3439,118,7752,5,36590,3055,0,116,29,44283,23565,19799,919,11733,12050,0,0,77,110,74,8,591,14,16,0,42,41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,524,0,0,8463,1175,0,0,8429,75,15,13,8444,1276,0,0,9111,196,0,0,9104,22,10,0,8400,8000,DUO,MIDDLE,1.7,0.9,390.3,320.7,313.8,284.3,0,0,0,0,693.8,482.1,0,0,63,FALSE,FALSE,2460,Machi Esports,JUNGLE,2.6,371.2,326.1,0,0,1100.5,0,2.5,171.6,186.7,0,0,1731.1,0
623,3,Blue,45,7,4,UNRANKED,M17 Apex,4,Veigar,FALSE,3140,1026,3102,3089,3001,3111,3363,2,2,1,2,1,1,1413,0,0,0,0,0,396999,225039,15928,156030,0,17298,16899,323,75,2596,1,11237,2602,2326,52,25,14768,8028,6127,612,14936,15060,0,0,357,20,20,0,160,18,8,0,22,18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8326,2,0,0,8313,0,0,0,8316,8308,0,0,8347,0,0,0,8226,2365,0,0,8234,25,0,0,8300,8200,DUO,BOTTOM,11,8.6,628.9,467.1,419,282.2,0,0,0,0,347.6,293.3,0,0,63,FALSE,FALSE,2460,Machi Esports,MID,9.1,460.8,435.4,0,0,209.5,0,6.6,277,286.3,0,0,366.9,0
