,championId,pickTurn,name,gameNumber,isTiebreaker,isPlayoff,league
1,429,1,Kalista,1,FALSE,FALSE,LMS
2,81,2,Ezreal,1,FALSE,FALSE,LMS
3,201,3,Braum,1,FALSE,FALSE,LMS
4,268,4,Azir,1,FALSE,FALSE,LMS
5,90,5,Malzahar,1,FALSE,FALSE,LMS
6,164,6,Camille,1,FALSE,FALSE,LMS
7,96,7,Kog'Maw,1,FALSE,FALSE,LMS
8,420,8,Illaoi,1,FALSE,FALSE,LMS
9,41,9,Gangplank,1,FALSE,FALSE,LMS
10,24,10,Jax,1,FALSE,FALSE,LMS
11,268,1,Azir,2,FALSE,FALSE,LMS
12,429,2,Kalista,2,FALSE,FALSE,LMS
13,142,3,Zoe,2,FALSE,FALSE,LMS
14,90,4,Malzahar,2,FALSE,FALSE,LMS
15,516,5,Ornn,2,FALSE,FALSE,LMS
16,81,6,Ezreal,2,FALSE,FALSE,LMS
17,113,7,Sejuani,2,FALSE,FALSE,LMS
18,223,8,Tahm Kench,2,FALSE,FALSE,LMS
19,121,9,Kha'Zix,2,FALSE,FALSE,LMS
20,12,10,Alistar,2,FALSE,FALSE,LMS
21,429,1,Kalista,3,FALSE,FALSE,LMS
22,268,2,Azir,3,FALSE,FALSE,LMS
23,154,3,Zac,3,FALSE,FALSE,LMS
24,142,4,Zoe,3,FALSE,FALSE,LMS
25,164,5,Camille,3,FALSE,FALSE,LMS
26,81,6,Ezreal,3,FALSE,FALSE,LMS
27,223,7,Tahm Kench,3,FALSE,FALSE,LMS
28,98,8,Shen,3,FALSE,FALSE,LMS
29,96,9,Kog'Maw,3,FALSE,FALSE,LMS
30,201,10,Braum,3,FALSE,FALSE,LMS
31,268,1,Azir,4,FALSE,FALSE,LMS
32,96,2,Kog'Maw,4,FALSE,FALSE,LMS
33,142,3,Zoe,4,FALSE,FALSE,LMS
34,429,4,Kalista,4,FALSE,FALSE,LMS
35,12,5,Alistar,4,FALSE,FALSE,LMS
36,81,6,Ezreal,4,FALSE,FALSE,LMS
37,40,7,Janna,4,FALSE,FALSE,LMS
38,113,8,Sejuani,4,FALSE,FALSE,LMS
39,98,9,Shen,4,FALSE,FALSE,LMS
40,110,10,Varus,4,FALSE,FALSE,LMS
41,98,1,Shen,5,FALSE,FALSE,LMS
42,268,2,Azir,5,FALSE,FALSE,LMS
43,8,3,Vladimir,5,FALSE,FALSE,LMS
44,142,4,Zoe,5,FALSE,FALSE,LMS
45,429,5,Kalista,5,FALSE,FALSE,LMS
46,96,6,Kog'Maw,5,FALSE,FALSE,LMS
47,201,7,Braum,5,FALSE,FALSE,LMS
48,102,8,Shyvana,5,FALSE,FALSE,LMS
49,40,9,Janna,5,FALSE,FALSE,LMS
50,121,10,Kha'Zix,5,FALSE,FALSE,LMS
51,98,1,Shen,6,FALSE,FALSE,LMS
52,268,2,Azir,6,FALSE,FALSE,LMS
53,8,3,Vladimir,6,FALSE,FALSE,LMS
54,142,4,Zoe,6,FALSE,FALSE,LMS
55,96,5,Kog'Maw,6,FALSE,FALSE,LMS
56,13,6,Ryze,6,FALSE,FALSE,LMS
57,201,7,Braum,6,FALSE,FALSE,LMS
58,134,8,Syndra,6,FALSE,FALSE,LMS
59,44,9,Taric,6,FALSE,FALSE,LMS
60,150,10,Gnar,6,FALSE,FALSE,LMS
61,268,1,Azir,7,FALSE,FALSE,LMS
62,429,2,Kalista,7,FALSE,FALSE,LMS
63,69,3,Cassiopeia,7,FALSE,FALSE,LMS
64,96,4,Kog'Maw,7,FALSE,FALSE,LMS
65,142,5,Zoe,7,FALSE,FALSE,LMS
66,81,6,Ezreal,7,FALSE,FALSE,LMS
67,59,7,Jarvan IV,7,FALSE,FALSE,LMS
68,201,8,Braum,7,FALSE,FALSE,LMS
69,154,9,Zac,7,FALSE,FALSE,LMS
70,44,10,Taric,7,FALSE,FALSE,LMS
71,69,1,Cassiopeia,8,FALSE,FALSE,LMS
72,429,2,Kalista,8,FALSE,FALSE,LMS
73,13,3,Ryze,8,FALSE,FALSE,LMS
74,96,4,Kog'Maw,8,FALSE,FALSE,LMS
75,142,5,Zoe,8,FALSE,FALSE,LMS
76,113,6,Sejuani,8,FALSE,FALSE,LMS
77,44,7,Taric,8,FALSE,FALSE,LMS
78,164,8,Camille,8,FALSE,FALSE,LMS
79,223,9,Tahm Kench,8,FALSE,FALSE,LMS
80,59,10,Jarvan IV,8,FALSE,FALSE,LMS
81,110,1,Varus,9,FALSE,FALSE,LMS
82,164,2,Camille,9,FALSE,FALSE,LMS
83,113,3,Sejuani,9,FALSE,FALSE,LMS
84,41,4,Gangplank,9,FALSE,FALSE,LMS
85,90,5,Malzahar,9,FALSE,FALSE,LMS
86,142,6,Zoe,9,FALSE,FALSE,LMS
87,8,7,Vladimir,9,FALSE,FALSE,LMS
88,516,8,Ornn,9,FALSE,FALSE,LMS
89,126,9,Jayce,9,FALSE,FALSE,LMS
90,83,10,Yorick,9,FALSE,FALSE,LMS
91,164,1,Camille,10,FALSE,FALSE,LMS
92,142,2,Zoe,10,FALSE,FALSE,LMS
93,41,3,Gangplank,10,FALSE,FALSE,LMS
94,113,4,Sejuani,10,FALSE,FALSE,LMS
95,223,5,Tahm Kench,10,FALSE,FALSE,LMS
96,81,6,Ezreal,10,FALSE,FALSE,LMS
97,64,7,Lee Sin,10,FALSE,FALSE,LMS
98,420,8,Illaoi,10,FALSE,FALSE,LMS
99,121,9,Kha'Zix,10,FALSE,FALSE,LMS
100,59,10,Jarvan IV,10,FALSE,FALSE,LMS
101,96,1,Kog'Maw,11,FALSE,FALSE,LMS
102,81,2,Ezreal,11,FALSE,FALSE,LMS
103,113,3,Sejuani,11,FALSE,FALSE,LMS
104,164,4,Camille,11,FALSE,FALSE,LMS
105,201,5,Braum,11,FALSE,FALSE,LMS
106,13,6,Ryze,11,FALSE,FALSE,LMS
107,12,7,Alistar,11,FALSE,FALSE,LMS
108,8,8,Vladimir,11,FALSE,FALSE,LMS
