,teamName,teamId,win,gameNumber,duration,isTiebreaker,isPlayoff,kills,deaths,assists,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,creepsPerMinDeltas.10-20,creepsPerMinDeltas.0-10,xpPerMinDeltas.10-20,xpPerMinDeltas.0-10,goldPerMinDeltas.10-20,goldPerMinDeltas.0-10,damageTakenPerMinDeltas.10-20,damageTakenPerMinDeltas.0-10,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,riftHeraldKills
123,Team Afro,Blue,FALSE,62,2753,FALSE,FALSE,5,10,10,1082705,456467,586886,39348,88888,46257,40366,2263,28347,12,114906,33725,8628,399,125,126900,65006,59148,2742,72915,70000,1320,222,165,9,4063,85,62,0,222,115,36.6,26.7,2427.5,1877.4,1672,1279.2,2476.7,1596.7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,1,3,0
124,Machi Esports,Red,TRUE,62,2753,FALSE,FALSE,10,5,30,1404838,687925,511950,204960,101705,62564,36395,2744,36689,7,173741,113105,29337,487,103,122452,50639,69549,2263,87033,79533,1386,265,158,41,5045,87,58,0,258,119,39,28,2266.9,1908.9,1714.4,1253.8,2807.4,1626.4,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,11,3,3,2,0
125,Machi Esports,Blue,FALSE,63,2460,FALSE,FALSE,7,9,12,1407562,379198,669026,359333,77594,42024,31455,4111,29556,18,109025,24161,15170,353,181,128371,63636,62013,2717,71525,70018,1258,218,146,24,3939,82,45,0,151,98,36.2,26,2305.3,1851.6,1858.8,1322.7,2342.5,1959.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,0,0,1,0
126,Team Afro,Red,TRUE,63,2460,FALSE,FALSE,9,7,23,1117536,702446,374137,40949,99191,60078,36392,2718,35509,10,173695,85853,27038,334,128,101733,44086,53532,4110,77117,67400,1222,216,146,19,5415,85,48,0,189,62,33.1,28,2128.1,2000.9,1708.7,1400.8,2232,1482.6,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,10,2,3,2,0
127,Machi Esports,Blue,FALSE,64,2225,FALSE,FALSE,6,23,14,1167431,379111,491143,297176,81779,45714,30431,5628,62875,16,165622,5066,5066,279,117,149262,47654,94879,6726,61511,58808,1083,187,141,4,2170,80,33,0,132,73,31.5,28.2,2292.5,1915.1,1746.1,1318.3,3973.9,2108.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0
128,Team Afro,Red,TRUE,64,2225,FALSE,FALSE,23,6,55,1189825,391712,613658,184450,122101,44880,70813,6404,78133,11,106940,64683,24638,361,146,127668,48446,73912,5307,78577,71630,1135,203,121,32,2646,86,44,0,190,59,34.1,28.3,2421.8,1957.6,2008.3,1424.2,3187.5,1725.4,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,10,1,2,1,0
129,Flash Wolves,Blue,TRUE,65,2177,FALSE,FALSE,13,0,36,1132280,344351,582997,204928,82507,43855,35774,2875,56226,14,91958,64216,27609,371,63,90541,46496,42218,1823,74035,70213,1141,238,162,7,3464,84,51,0,156,75,37.9,27.8,2360.8,1954.9,1762.5,1348.2,2060,1471.1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,11,3,1,3,0
130,J Team,Red,FALSE,65,2177,FALSE,FALSE,0,13,0,1246924,595485,313063,338375,60018,42941,15251,1823,51559,15,76646,6065,4322,333,46,112497,48103,61514,2875,60024,58783,1210,199,169,12,1957,78,42,0,169,63,39.5,29.1,2386.5,1921.6,1852,1312.1,2513.1,1619.1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0
131,J Team,Blue,FALSE,66,1929,FALSE,FALSE,3,16,6,768696,321714,274222,172757,52835,35133,17174,526,19863,14,69468,11606,219,290,55,93147,38960,51097,3087,47416,45310,933,142,112,9,1416,69,32,0,172,57,31,24.5,1925.1,1751.9,1400.3,1270.4,2090.8,2119.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,0
132,Flash Wolves,Red,TRUE,66,1929,FALSE,FALSE,16,3,35,861723,262996,534481,64241,73520,36902,33529,3087,25620,13,76724,69933,22912,305,73,95832,39561,52743,3526,65532,60391,1005,202,94,53,1776,77,43,0,146,80,33.7,27.1,2129.9,1838,1965,1574.5,2456.4,1842.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,9,1,1,2,1
