,championId,pickTurn,name,gameNumber,isTiebreaker,isPlayoff,league
1,516,1,Ornn,1,FALSE,FALSE,NALCS
2,96,2,Kog'Maw,1,FALSE,FALSE,NALCS
3,142,3,Zoe,1,FALSE,FALSE,NALCS
4,223,4,Tahm Kench,1,FALSE,FALSE,NALCS
5,268,5,Azir,1,FALSE,FALSE,NALCS
6,81,6,Ezreal,1,FALSE,FALSE,NALCS
7,201,7,Braum,1,FALSE,FALSE,NALCS
8,412,8,Thresh,1,FALSE,FALSE,NALCS
9,98,9,Shen,1,FALSE,FALSE,NALCS
10,121,10,Kha'Zix,1,FALSE,FALSE,NALCS
11,223,1,Tahm Kench,2,FALSE,FALSE,NALCS
12,142,2,Zoe,2,FALSE,FALSE,NALCS
13,61,3,Orianna,2,FALSE,FALSE,NALCS
14,28,4,Evelynn,2,FALSE,FALSE,NALCS
15,429,5,Kalista,2,FALSE,FALSE,NALCS
16,268,6,Azir,2,FALSE,FALSE,NALCS
17,41,7,Gangplank,2,FALSE,FALSE,NALCS
18,44,8,Taric,2,FALSE,FALSE,NALCS
19,150,9,Gnar,2,FALSE,FALSE,NALCS
20,516,10,Ornn,2,FALSE,FALSE,NALCS
21,107,1,Rengar,3,FALSE,FALSE,NALCS
22,429,2,Kalista,3,FALSE,FALSE,NALCS
23,201,3,Braum,3,FALSE,FALSE,NALCS
24,150,4,Gnar,3,FALSE,FALSE,NALCS
25,164,5,Camille,3,FALSE,FALSE,NALCS
26,142,6,Zoe,3,FALSE,FALSE,NALCS
27,7,7,LeBlanc,3,FALSE,FALSE,NALCS
28,223,8,Tahm Kench,3,FALSE,FALSE,NALCS
29,13,9,Ryze,3,FALSE,FALSE,NALCS
30,12,10,Alistar,3,FALSE,FALSE,NALCS
31,429,1,Kalista,4,FALSE,FALSE,NALCS
32,142,2,Zoe,4,FALSE,FALSE,NALCS
33,223,3,Tahm Kench,4,FALSE,FALSE,NALCS
34,268,4,Azir,4,FALSE,FALSE,NALCS
35,18,5,Tristana,4,FALSE,FALSE,NALCS
36,81,6,Ezreal,4,FALSE,FALSE,NALCS
37,164,7,Camille,4,FALSE,FALSE,NALCS
38,516,8,Ornn,4,FALSE,FALSE,NALCS
39,40,9,Janna,4,FALSE,FALSE,NALCS
40,126,10,Jayce,4,FALSE,FALSE,NALCS
41,98,1,Shen,5,FALSE,FALSE,NALCS
42,81,2,Ezreal,5,FALSE,FALSE,NALCS
43,8,3,Vladimir,5,FALSE,FALSE,NALCS
44,429,4,Kalista,5,FALSE,FALSE,NALCS
45,96,5,Kog'Maw,5,FALSE,FALSE,NALCS
46,142,6,Zoe,5,FALSE,FALSE,NALCS
47,121,7,Kha'Zix,5,FALSE,FALSE,NALCS
48,69,8,Cassiopeia,5,FALSE,FALSE,NALCS
49,59,9,Jarvan IV,5,FALSE,FALSE,NALCS
50,28,10,Evelynn,5,FALSE,FALSE,NALCS
51,18,1,Tristana,6,FALSE,FALSE,NALCS
52,81,2,Ezreal,6,FALSE,FALSE,NALCS
53,41,3,Gangplank,6,FALSE,FALSE,NALCS
54,142,4,Zoe,6,FALSE,FALSE,NALCS
55,268,5,Azir,6,FALSE,FALSE,NALCS
56,223,6,Tahm Kench,6,FALSE,FALSE,NALCS
57,201,7,Braum,6,FALSE,FALSE,NALCS
58,79,8,Gragas,6,FALSE,FALSE,NALCS
59,25,9,Morgana,6,FALSE,FALSE,NALCS
60,12,10,Alistar,6,FALSE,FALSE,NALCS
61,516,1,Ornn,7,FALSE,FALSE,NALCS
62,81,2,Ezreal,7,FALSE,FALSE,NALCS
63,90,3,Malzahar,7,FALSE,FALSE,NALCS
64,41,4,Gangplank,7,FALSE,FALSE,NALCS
65,142,5,Zoe,7,FALSE,FALSE,NALCS
66,13,6,Ryze,7,FALSE,FALSE,NALCS
67,12,7,Alistar,7,FALSE,FALSE,NALCS
68,164,8,Camille,7,FALSE,FALSE,NALCS
69,98,9,Shen,7,FALSE,FALSE,NALCS
70,126,10,Jayce,7,FALSE,FALSE,NALCS
71,136,1,Aurelion Sol,8,FALSE,FALSE,NALCS
72,142,2,Zoe,8,FALSE,FALSE,NALCS
73,223,3,Tahm Kench,8,FALSE,FALSE,NALCS
74,13,4,Ryze,8,FALSE,FALSE,NALCS
75,429,5,Kalista,8,FALSE,FALSE,NALCS
76,516,6,Ornn,8,FALSE,FALSE,NALCS
77,28,7,Evelynn,8,FALSE,FALSE,NALCS
78,18,8,Tristana,8,FALSE,FALSE,NALCS
79,154,9,Zac,8,FALSE,FALSE,NALCS
80,96,10,Kog'Maw,8,FALSE,FALSE,NALCS
81,516,1,Ornn,9,FALSE,FALSE,NALCS
82,81,2,Ezreal,9,FALSE,FALSE,NALCS
83,107,3,Rengar,9,FALSE,FALSE,NALCS
84,429,4,Kalista,9,FALSE,FALSE,NALCS
85,26,5,Zilean,9,FALSE,FALSE,NALCS
86,96,6,Kog'Maw,9,FALSE,FALSE,NALCS
87,201,7,Braum,9,FALSE,FALSE,NALCS
88,150,8,Gnar,9,FALSE,FALSE,NALCS
89,12,9,Alistar,9,FALSE,FALSE,NALCS
90,164,10,Camille,9,FALSE,FALSE,NALCS
91,223,1,Tahm Kench,10,FALSE,FALSE,NALCS
