,name,teamRole,wins,losses,duration,kills,deaths,assists,KDA,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,creepsPerMinDeltas.10.20,creepsPerMinDeltas.0.10,xpPerMinDeltas.10.20,xpPerMinDeltas.0.10,goldPerMinDeltas.10.20,goldPerMinDeltas.0.10,damageTakenPerMinDeltas.10.20,damageTakenPerMinDeltas.0.10
63,Shyvana,JUNGLE,0,1,1687,0,3,1,0.333333333,133462,66004,58459,8998,1989,1941,48,0,8045,1,16026,11720,0,74,0,23074,7116,15885,72,8680,8800,0,0,30,138,89,4,564,12,7,0,23,13,0,0,0,0,0,0.7,0.9,372.4,370.7,316.1,269,876.2,681.5
64,Singed,TOP,2,0,1849,2.5,1.5,7.5,6.666666667,191423,132009.5,9412.5,50000,9473.5,9023.5,449.5,0,2078,1,26014.5,3116,1052,25,34.5,21649.5,5298.5,14139.5,2210.5,12043,11647.5,1,0,257,2,0,0,7962.5,16.5,2,0,15,2,0,0,0,0,0.5,9.05,6.65,516.65,429.95,390.95,280.75,536.5,498.65
65,Sion,MID,1,0,2324,3,4,11,3.5,160580,99898,52486,8195,19023,7850,11172,0,14880,1,78757,3727,929,40,57,37169,18130,17591,1447,13856,12975,0,0,258,5,4,1,2311,17,7,0,21,6,1,0,0,0,1,8.6,8.8,449.4,494.7,334.2,320.6,957.5,264
66,Sion,TOP,12,8,2254.7,1.55,1.75,5.1,3.8,213049.1,117188.95,60333.45,35526.15,14375.55,7842.7,6428.45,103.8,7145.4,1,61560.65,3391.8,1548.55,38.9,44.95,28124.4,11181.15,15405.2,1537.25,13574.45,12617.25,0.7,0,301.05,1.4,0.35,0.2,2459.5,16.65,5.8,0,22.95,6.35,0.05,0.05,0.1,0,0.2,10.06,8.15,549.31,465.655,384.725,276.69,354,290.44
67,Sivir,BOTCARRY,0,1,2771,4,6,6,1.666666667,425056,78704,335813,10537,43487,6192,35743,1551,1541,4,16602,6421,3701,44,5,20631,10337,9652,642,20372,20300,1,0,459,40,37,0,387,18,4,0,13,19,0,0,0,0,0,12,9.5,501,377.8,407.6,344,182.8,274.4
68,Skarner,JUNGLE,25,12,2133.108108,1,1.972972973,6.540540541,3.821917808,164396.6757,63080.83784,84693.32432,16621.48649,5012.27027,1947.027027,2346.675676,717.4324324,8130.567568,1,40092.21622,19118.08108,779.7567568,88.45945946,23.16216216,22319.45946,7563,14240.7027,515.1891892,11583.37838,10604.18919,0.486486486,0.027027027,34.43243243,160.2432432,106.3243243,10.27027027,1119.189189,15.21621622,11.21621622,0,48.54054054,13.94594595,0.081081081,0.054054054,0.27027027,0,0.405405405,0.891891892,0.294594595,419.772973,360.8675676,328.8054054,278.4486486,543.3027027,539.8
69,Swain,MID,4,2,1954.166667,4.666666667,1.666666667,7.5,7.3,249364.5,151257.3333,19007.16667,79099.66667,17486,16299.16667,980.8333333,205.3333333,10425.83333,1,15735.66667,7894.166667,3189.5,34.33333333,30.66666667,22777.83333,12889.16667,8730.333333,1157.5,13114.16667,11715.83333,1.166666667,0.166666667,259.1666667,15.16666667,14.16666667,1,334.6666667,16.16666667,5,0,16.66666667,7,0,0.166666667,0,0,0.666666667,9.15,8.2,518.2,466.85,400.3333333,296.55,611.7166667,299.4
70,Swain,TOP,3,0,2498.333333,1.666666667,1.666666667,7,5.2,245547.3333,213017.3333,25151.33333,7378.333333,27135,24144.66667,2286.333333,703.3333333,14404,1,27269.33333,9943.666667,3537,45.66666667,52,32367.33333,13342,18187.66667,837,15372.66667,13700,1.333333333,0,329.3333333,14.66666667,11,0,403.6666667,18,6,0,24.66666667,6.333333333,0,0,0,0,0.333333333,10.06666667,8.666666667,535,468.8666667,363.4333333,281,585.2,239.4
71,Syndra,MID,5,6,2372,3.181818182,1.272727273,4.090909091,5.714285714,329737.1818,279152.3636,15375.81818,35208,21402.36364,19989.63636,360,1051.818182,3300.181818,2.272727273,5698.181818,9768.818182,3944.363636,45.36363636,31.45454545,11283.81818,6387.818182,4633.181818,262.5454545,16861.09091,15225.45455,1.636363636,0.181818182,373.5454545,34.27272727,26.90909091,2.909090909,807.2727273,17.09090909,7.727272727,0,23.45454545,8.272727273,0.272727273,0,0.181818182,0.181818182,0.272727273,11.22727273,8.981818182,567.4272727,479.8545455,420.3909091,302.2363636,193.5,139.4
72,Tahm Kench,SUPPORT,18,19,2061,0.675675676,2.108108108,5.675675676,3.012820513,86767.40541,11265.94595,7606.351351,67894,4530.27027,3962.918919,415.6486486,151.3243243,4791.405405,4.27027027,20746.13514,2187.351351,623.4054054,74.51351351,10.91891892,16995.2973,7775.243243,8523.72973,695.4594595,8530.513514,7611.756757,0.162162162,0,66.97297297,0.756756757,0.108108108,0.108108108,101.9459459,13.40540541,13.54054054,0,46,9.216216216,0.054054054,0,0.135135135,0,0.297297297,2.321621622,1.602702703,301.7756757,278.9486486,237.9,154.4405405,410.1540541,251.3837838
73,Taliyah,MID,10,8,2076.722222,2.944444444,1.666666667,4.111111111,4.233333333,294823.7778,195939.6111,9755,89128.44444,19035.22222,18302,425.6111111,307.0555556,2041.055556,1.944444444,5993.555556,5663.722222,1846.055556,35.83333333,14.55555556,12510.05556,6516.333333,5642.055556,350.8888889,13819.16667,12572.77778,0.666666667,0.111111111,299.2222222,24.66666667,20.22222222,2.888888889,766.1666667,16.72222222,5.166666667,0,16.61111111,9.166666667,0.166666667,0.055555556,0.166666667,0.055555556,0.388888889,10.37222222,9.038888889,559.85,496.0944444,426.5388889,306.5333333,358.6722222,182.1222222
74,Taric,SUPPORT,12,14,2296.653846,0.346153846,1.846153846,6.653846154,3.791666667,54548.92308,13984.5,9840.769231,30722.73077,3300.5,2244.615385,720.6153846,334.5384615,11738.11538,5.384615385,20066.19231,2526.076923,882.2692308,92.84615385,18.53846154,13570.26923,5999.923077,7057.076923,512.6923077,9868.153846,8899.807692,0.307692308,0.076923077,82.61538462,0.307692308,0.153846154,0,76.69230769,14.23076923,16.76923077,0,54.46153846,13.84615385,0,0,0.230769231,0.038461538,0.230769231,2.634615385,1.926923077,296.8384615,276.4730769,241.35,166.5076923,305.0153846,183.2269231
75,Thresh,SUPPORT,11,8,2065.105263,0.894736842,2.368421053,7.894736842,3.711111111,45002.21053,8380.263158,4593.210526,32028.05263,4696.421053,3420.210526,466.5789474,808.7368421,2909.526316,4.473684211,12564.36842,2529.947368,1048.473684,84.15789474,25.10526316,13219.15789,6187.105263,6394.947368,636.4210526,8749.526316,7946.052632,0.263157895,0,33.84210526,0.315789474,0,0.315789474,78.10526316,13.05263158,15.31578947,0,48.10526316,13.42105263,0.052631579,0,0.210526316,0,0.526315789,1.068421053,0.9,254.6842105,277.6368421,223.3421053,168.3578947,279.5315789,175.4684211
76,Tristana,BOTCARRY,15,14,2229.172414,2.793103448,1.379310345,3.931034483,4.875,288136.1379,104680.8966,176631.7586,6822.517241,20363.82759,5608.62069,14077.7931,676.7586207,4523.655172,3.24137931,11656.55172,21611.55172,9140.37931,53.10344828,5.482758621,12621.72414,5598.793103,6649,373.137931,16251.17241,14742.06897,2.793103448,0.482758621,368.2758621,27.62068966,15.55172414,4.103448276,242.9310345,16.06896552,3.75862069,0,14.62068966,20.93103448,0.103448276,0.24137931,0.034482759,0.137931034,0.24137931,10.87586207,8.886206897,459.5,328.5310345,418.6413793,291.6448276,263.6931034,192.1896552
77,Trundle,JUNGLE,5,2,2069.714286,2.142857143,2.428571429,7.285714286,3.882352941,130088.2857,32724,85589.14286,11774.42857,6525.142857,2493.571429,3430.142857,600.7142857,21541,1,33954.42857,18596.85714,2125.857143,56.42857143,31,35563.14286,11724.57143,21657.28571,2180.428571,10960.85714,9396.428571,1.142857143,0,39.85714286,119.2857143,87.42857143,3.142857143,792.4285714,13.85714286,8.571428571,0,18.14285714,19.42857143,0,0.142857143,0.285714286,0,0.428571429,0.971428571,0.314285714,416.7714286,331.5857143,311.0857143,259.9285714,938.2285714,790.3428571
78,Trundle,TOP,0,3,1944.666667,0.666666667,5,4.333333333,1,185637,3175.666667,172193.6667,10267.66667,11518.33333,3119.666667,8321.666667,76.66666667,10128.33333,1,40449,6610.333333,5407,34,27,32042,13911.33333,15839.33333,2290.333333,12286,12376.66667,1.666666667,0,286.3333333,8.333333333,5,1.666666667,516.3333333,16.33333333,5,0,17,6,0,0.333333333,0,0,0,9.7,9.133333333,516.1666667,462.2333333,399.6,309.4,924.8,416.3666667
79,Twisted Fate,MID,0,2,2181.5,1,1.5,4,3.333333333,289077,194440.5,19419,75217,17444.5,15946.5,1280.5,217,4338.5,1,9886.5,3758.5,2351.5,43,28,17395,8794,8351.5,248.5,14710.5,13800,1,0,315,16,16,0,279.5,16.5,6.5,0,20,14,0,0,0,0,0,10.45,8.35,541.85,481.9,422.7,322,417.6,255.75
80,Twitch,BOTCARRY,1,0,2105,4,1,3,7,215247,4389,185638,25219,21722,2650,15931,3141,3353,2,10273,25512,11712,50,13,12611,7215,5265,130,14827,13600,4,1,276,24,12,4,859,16,10,0,21,10,0,0,0,1,0,8,8.7,406.7,324.4,330,277.6,332.8,136.1
81,Urgot,TOP,0,1,2158,1,4,1,0.5,158232,645,154014,3572,13608,645,12390,572,2010,1,28670,829,106,62,14,21317,9183,11780,354,11200,11435,1,0,261,16,16,0,403,16,5,0,40,9,0,0,0,0,0,7.1,9.7,404.6,488.4,282.8,295.5,650.7,206.5
82,Varus,BOTCARRY,16,22,2059.105263,2.552631579,1.947368421,4.105263158,3.418918919,192736.6579,49420.65789,137306.9474,6008.368421,16653.07895,6237.947368,9980.236842,434.2894737,2979.105263,2.947368421,10898.81579,17453.71053,6298.605263,43.23684211,29.81578947,9514.105263,4212.473684,5019.842105,281.0263158,14001.92105,12887.5,2.052631579,0.552631579,313.9210526,18.57894737,10.89473684,1.868421053,549.7105263,15.26315789,4.973684211,0,13.89473684,14.71052632,0.052631579,0.078947368,0.078947368,0.184210526,0.184210526,10.66052632,9.031578947,438.7315789,323.2105263,403.9868421,294.1289474,200.1789474,166.6631579
83,Veigar,MID,0,1,2287,4,3,2,2,286719,275533,9268,1917,18496,18026,469,0,3324,1,12996,5707,493,33,32,18222,10668,7434,120,14555,14000,0,0,323,21,20,0,196,18,4,0,24,4,0,0,0,0,0,9.1,7.4,603.8,471.1,398.9,259.8,497.6,216.9
84,Vel'Koz,MID,0,2,2740.5,1,1.5,2,2,301135.5,246216,12850.5,42067,49021,36646.5,128.5,12244.5,1375,1,5452.5,6270.5,2448,58,33.5,12528.5,7279.5,4599,650,16150.5,15812.5,1,0,369.5,21,18,3,543,18,10.5,0,26.5,10,0.5,0,0,0,0,10.7,9.35,571.95,483.6,399.1,291.8,174.75,124.25
85,Viktor,MID,2,1,2375.333333,3,2.333333333,5.666666667,3.714285714,296022,269822.6667,21323,4875.666667,23001.66667,21651.33333,677.3333333,673,4678,3,18836.33333,11075.33333,4073.666667,54,17.33333333,13182.33333,6228.666667,6397.333333,555.6666667,16799.33333,15035,1,0.333333333,349,39.33333333,28.33333333,7,327,17.66666667,6.666666667,0,23,10,0.333333333,0,0,0,0,10.33333333,8.933333333,577.8,487.9333333,439.2333333,303.1,248.0333333,153.2666667
